term,recent_n,prior_n,share_prior_pct,share_recent_pct,growth_x,score
life span,6801,22,0.009,3.732,403.3,494.77
community advisory,2169,0,0.0,1.19,11902.7,437.06
community advisory board,2169,0,0.0,1.19,11902.7,437.06
older adult,6279,43,0.018,3.445,191.5,416.4
span,6844,80,0.033,3.755,112.5,390.71
community partners,2590,3,0.001,1.421,1054.1,354.23
anti-viral agents,1338,0,0.0,0.734,7342.8,325.6
single cell atac-seq,1062,0,0.0,0.583,5828.4,282.56
cell atac-seq,1062,0,0.0,0.583,5828.4,282.56
extend lifespan,1022,0,0.0,0.561,5608.9,275.96
targets release,976,0,0.0,0.536,5356.5,268.24
cleavage targets,976,0,0.0,0.536,5356.5,268.24
release nuclease,976,0,0.0,0.536,5356.5,268.24
targets release nuclease,976,0,0.0,0.536,5356.5,268.24
cleavage targets release,976,0,0.0,0.536,5356.5,268.24
community collaboration,959,0,0.0,0.526,5263.2,265.35
human induced,2646,35,0.015,1.452,99.0,236.38
human induced pluripotent,2644,35,0.015,1.451,98.9,236.25
anti-viral response,760,0,0.0,0.417,4171.3,229.81
upregulation,3417,104,0.043,1.875,43.2,220.17
aging process,1243,3,0.001,0.682,505.9,219.52
anti-fungal agents,702,0,0.0,0.385,3853.0,218.76
anti-depressive agents,699,0,0.0,0.384,3836.5,218.18
anti-depressive,699,0,0.0,0.384,3836.5,218.18
age-related disease,1677,11,0.005,0.92,196.8,216.3
women mortality,689,0,0.0,0.378,3781.7,216.24
white women,683,0,0.0,0.375,3748.7,215.06
senescence secretory,665,0,0.0,0.365,3650.0,211.52
senescence secretory phenotype,665,0,0.0,0.365,3650.0,211.52
advisory board,2189,32,0.013,1.201,89.5,210.29
congenital heart abnormality,615,0,0.0,0.337,3375.6,201.48
heart abnormality,615,0,0.0,0.337,3375.6,201.48
structural mutation,614,0,0.0,0.337,3370.1,201.27
spatial transcriptomics,2456,57,0.024,1.348,56.6,200.0
aging mechanism,582,0,0.0,0.319,3194.5,194.67
anti-viral therapy,577,0,0.0,0.317,3167.1,193.62
spanish english,533,0,0.0,0.292,2925.7,184.26
functional impairment,1242,9,0.004,0.682,177.3,182.47
anti-malarials,500,0,0.0,0.274,2744.6,177.04
community academic,487,0,0.0,0.267,2673.3,174.14
community academic partnership,487,0,0.0,0.267,2673.3,174.14
lived experience,1327,15,0.006,0.728,114.8,172.8
regulatory approval,480,0,0.0,0.263,2634.8,172.57
disproportionately impacts women,469,0,0.0,0.257,2574.5,170.08
impacts women,469,0,0.0,0.257,2574.5,170.08
disproportionately impacts,469,0,0.0,0.257,2574.5,170.08
anti-hypertensive agents,456,0,0.0,0.25,2503.2,167.1
cell derived human,455,0,0.0,0.25,2497.7,166.87
derived human neuron,455,0,0.0,0.25,2497.7,166.87
microbiota composition,444,0,0.0,0.244,2437.3,164.33
anti-microbial peptide,437,0,0.0,0.24,2398.9,162.7
women diagnosis,436,0,0.0,0.239,2393.4,162.46
autism symptoms,407,0,0.0,0.223,2234.3,155.58
secretory phenotype,665,2,0.001,0.365,391.5,153.95
acceleration,19413,8897,3.702,10.652,2.9,147.25
dimension reduction,364,0,0.0,0.2,1998.3,145.0
derived induced pluripotent,755,5,0.002,0.414,190.0,144.18
nanostring,354,0,0.0,0.194,1943.5,142.47
fda-approved drug,352,0,0.0,0.193,1932.5,141.96
anti-microbial,851,9,0.004,0.467,121.5,140.02
derived induced,755,6,0.002,0.414,159.6,139.38
lineage tracing,1056,19,0.008,0.579,72.4,139.15
appropriate intervention,338,0,0.0,0.185,1855.7,138.36
culturally appropriate intervention,338,0,0.0,0.185,1855.7,138.36
disproportionately,476,1,0.0,0.261,506.3,135.86
interferon-,327,0,0.0,0.179,1795.3,135.5
anti-microbial drug,325,0,0.0,0.178,1784.3,134.97
muscle progenitor cell,320,0,0.0,0.176,1756.9,133.65
differentiation vitro,449,1,0.0,0.246,477.6,130.71
indian population,448,1,0.0,0.246,476.5,130.52
american indian population,448,1,0.0,0.246,476.5,130.52
alaska native population,308,0,0.0,0.169,1691.1,130.45
native population,308,0,0.0,0.169,1691.1,130.45
late life,1249,42,0.017,0.685,39.0,129.47
induced neurons,436,1,0.0,0.239,463.7,128.19
brain control,555,3,0.001,0.305,225.9,127.69
single cell genomics,1077,29,0.012,0.591,48.6,127.44
aging disease,996,24,0.01,0.547,54.2,126.0
germ lines,2754,329,0.137,1.511,11.0,125.99
gene-targeted,289,0,0.0,0.159,1586.8,125.28
gene-targeted therapy,288,0,0.0,0.158,1581.3,125.01
gene editing technology,578,4,0.002,0.317,179.8,124.82
cell genomics,1080,33,0.014,0.593,42.9,123.49
physical impairment,280,0,0.0,0.154,1537.4,122.79
lifelong disability,279,0,0.0,0.153,1531.9,122.51
debilitating symptom,274,0,0.0,0.15,1504.5,121.1
promote healthspan,274,0,0.0,0.15,1504.5,121.1
later life,1158,44,0.018,0.635,34.5,120.52
senescent cell,920,23,0.01,0.505,52.2,119.97
t-cell receptor therapy,269,0,0.0,0.148,1477.1,119.69
computer scientist,269,0,0.0,0.148,1477.1,119.69
skin biopsy,268,0,0.0,0.147,1471.6,119.41
death rate,4463,989,0.412,2.449,5.9,119.14
aging reversal,264,0,0.0,0.145,1449.6,118.27
anti-cancer,6865,2198,0.915,3.767,4.1,117.28
lines,2821,410,0.171,1.548,9.1,117.1
anti-fungal,703,11,0.005,0.386,82.5,117.0
academic partnership,487,3,0.001,0.267,198.3,116.73
rate aging,258,0,0.0,0.142,1416.7,116.55
board,2712,382,0.159,1.488,9.4,116.45
long-term disability,256,0,0.0,0.14,1405.7,115.97
formulation optimization,255,0,0.0,0.14,1400.2,115.68
anti-viral,2419,306,0.127,1.327,10.4,115.26
burden chronic,252,0,0.0,0.138,1383.8,114.81
burden chronic illness,252,0,0.0,0.138,1383.8,114.81
women treatment,470,3,0.001,0.258,191.3,113.91
women prevalence,244,0,0.0,0.134,1339.9,112.47
healthcare burden,243,0,0.0,0.133,1334.4,112.18
androgen independent,599,8,0.003,0.329,95.9,111.68
androgen independent prostate,599,8,0.003,0.329,95.9,111.68
younger,711,14,0.006,0.39,65.9,111.66
aging biomarker,412,2,0.001,0.226,242.6,111.46
care partner,240,0,0.0,0.132,1317.9,111.29
extend,1043,45,0.019,0.572,30.4,110.28
anti-diabetic drugs,235,0,0.0,0.129,1290.5,109.8
clinical validation,1069,49,0.02,0.587,28.6,109.68
hallmarks aging,643,11,0.005,0.353,75.5,109.63
communication difficulty,232,0,0.0,0.127,1274.0,108.9
discrimination task,231,0,0.0,0.127,1268.5,108.6
gene modified,1768,177,0.074,0.97,13.2,108.35
proteostasis loss,230,0,0.0,0.126,1263.1,108.3
atherogenicity,230,0,0.0,0.126,1263.1,108.3
partners,2993,566,0.236,1.642,7.0,106.23
native american population,223,0,0.0,0.122,1224.6,106.18
anti-hypertensive,456,4,0.002,0.25,141.9,105.81
virus testing,220,0,0.0,0.121,1208.2,105.26
spanish,1116,63,0.026,0.612,23.3,105.14
dedications,8768,3823,1.591,4.811,3.0,103.63
tdp43 proteinopathy,214,0,0.0,0.117,1175.3,103.41
lived,1396,116,0.048,0.766,15.8,103.21
aging delay,212,0,0.0,0.116,1164.3,102.79
independent prostate,599,12,0.005,0.329,64.6,102.0
independent prostate cancer,599,12,0.005,0.329,64.6,102.0
human neuron,459,5,0.002,0.252,115.5,101.76
fmr1 gene,205,0,0.0,0.112,1125.9,100.6
dementia burden,205,0,0.0,0.112,1125.9,100.6
disability reduction,203,0,0.0,0.111,1114.9,99.97
anti-epileptic agents,201,0,0.0,0.11,1103.9,99.34
indian community,201,0,0.0,0.11,1103.9,99.34
american indian community,201,0,0.0,0.11,1103.9,99.34
technology intervention,385,3,0.001,0.211,156.8,99.18
alpha virus,199,0,0.0,0.109,1092.9,98.7
pro-aging,198,0,0.0,0.109,1087.5,98.38
editing technology,580,13,0.005,0.318,57.8,97.7
term disability,195,0,0.0,0.107,1071.0,97.42
long term disability,193,0,0.0,0.106,1060.0,96.78
pluripotent stem cells,3570,933,0.388,1.959,5.0,96.7
mediated delivery,398,4,0.002,0.218,123.8,96.14
accelerated epigenetic,190,0,0.0,0.104,1043.6,95.8
accelerated epigenetic aging,190,0,0.0,0.104,1043.6,95.8
adenovirus mediated delivery,395,4,0.002,0.217,122.9,95.62
adenovirus mediated,395,4,0.002,0.217,122.9,95.62
cerebral endothelium,186,0,0.0,0.102,1021.6,94.5
mice imaging,184,0,0.0,0.101,1010.6,93.84
infected rhesus,183,0,0.0,0.1,1005.2,93.52
infected rhesus macaques,183,0,0.0,0.1,1005.2,93.52
mhealth interventions,536,13,0.005,0.294,53.4,92.09
high-resolution,1716,246,0.102,0.942,9.2,91.89
chronic disability,178,0,0.0,0.098,977.7,91.86
derived human,457,8,0.003,0.251,73.2,91.77
pharmacologic,17991,12020,5.002,9.872,2.0,91.2
self supervised,172,0,0.0,0.094,944.8,89.85
self supervised learning,172,0,0.0,0.094,944.8,89.85
symptom burden,544,15,0.006,0.299,47.1,89.84
stem cell exhaustion,170,0,0.0,0.093,933.8,89.17
acute covid-19,167,0,0.0,0.092,917.4,88.15
community empowerment,167,0,0.0,0.092,917.4,88.15
droplet digital,162,0,0.0,0.089,889.9,86.44
older,8306,4271,1.777,4.558,2.6,85.83
gene-editing,509,15,0.006,0.279,44.1,85.4
spheroids,708,39,0.016,0.388,23.8,84.34
disabling condition,155,0,0.0,0.085,851.5,84.0
multimodal modeling,154,0,0.0,0.085,846.0,83.65
culturally appropriate,349,5,0.002,0.192,87.9,83.62
mobility decline,398,8,0.003,0.218,63.7,82.88
hallmarks,656,34,0.014,0.36,25.3,82.72
hypertensive disease,151,0,0.0,0.083,829.6,82.59
hypertensive disease pregnancy,151,0,0.0,0.083,829.6,82.59
disease pregnancy,151,0,0.0,0.083,829.6,82.59
pre-trained,150,0,0.0,0.082,824.1,82.23
long-term follow-up,420,10,0.004,0.23,54.1,81.79
visual stream,148,0,0.0,0.081,813.1,81.52
social media platform,148,0,0.0,0.081,813.1,81.52
media platform,148,0,0.0,0.081,813.1,81.52
island population,145,0,0.0,0.08,796.6,80.44
pacific island population,145,0,0.0,0.08,796.6,80.44
cell organoids,143,0,0.0,0.078,785.7,79.72
stem cell organoids,143,0,0.0,0.078,785.7,79.72
biological variable,402,10,0.004,0.221,51.8,79.14
access medications,141,0,0.0,0.077,774.7,78.99
generative artificial,140,0,0.0,0.077,769.2,78.63
generative artificial intelligence,140,0,0.0,0.077,769.2,78.63
male specific,140,0,0.0,0.077,769.2,78.63
care resources,320,5,0.002,0.176,80.6,78.52
unsupervised clustering,139,0,0.0,0.076,763.7,78.26
receptor-interacting protein,139,0,0.0,0.076,763.7,78.26
cognitive manifestations,139,0,0.0,0.076,763.7,78.26
adult women,525,23,0.01,0.288,29.8,77.78
primarily undergraduate institution,137,0,0.0,0.075,752.7,77.53
undergraduate institution,137,0,0.0,0.075,752.7,77.53
primarily undergraduate,137,0,0.0,0.075,752.7,77.53
primarily,137,0,0.0,0.075,752.7,77.53
rna-sequencing,2177,549,0.228,1.195,5.2,77.17
multimodal learning,136,0,0.0,0.075,747.3,77.16
mouse embryonic stem,358,8,0.003,0.196,57.3,76.6
motor disability,134,0,0.0,0.074,736.3,76.42
women prevention,133,0,0.0,0.073,730.8,76.05
interactive visualization,131,0,0.0,0.072,719.8,75.3
number alteration,131,0,0.0,0.072,719.8,75.3
copy number alteration,131,0,0.0,0.072,719.8,75.3
nucleus rna-sequencing,2099,538,0.224,1.152,5.1,75.03
single nucleus rna-sequencing,2099,538,0.224,1.152,5.1,75.03
native american community,130,0,0.0,0.071,714.3,74.92
sensory impairment,130,0,0.0,0.071,714.3,74.92
single nucleus,2099,541,0.225,1.152,5.1,74.77
mouse embryonic,360,9,0.004,0.198,51.4,74.75
senescent,928,105,0.044,0.509,11.6,74.74
neurological disability,231,2,0.001,0.127,136.1,74.67
chronic inflammation,646,45,0.019,0.354,18.8,74.62
minority status,127,0,0.0,0.07,697.9,73.79
cleavage,1083,152,0.063,0.594,9.4,73.68
re-epithelialization,125,0,0.0,0.069,686.9,73.03
epilepsy monitoring,125,0,0.0,0.069,686.9,73.03
spatial omics,371,11,0.005,0.204,43.5,72.69
aging clocks,124,0,0.0,0.068,681.4,72.65
chronic condition,356,10,0.004,0.195,45.9,72.18
medial temporal lobe,394,14,0.006,0.216,36.5,71.41
anti-cancer treatment,183,1,0.0,0.1,194.8,71.31
lipid nano,120,0,0.0,0.066,659.5,71.11
nano particle vaccine,120,0,0.0,0.066,659.5,71.11
lipid nano particle,120,0,0.0,0.066,659.5,71.11
nano particle,120,0,0.0,0.066,659.5,71.11
mrna lipid nano,120,0,0.0,0.066,659.5,71.11
artificial intelligence training,119,0,0.0,0.065,654.0,70.72
intelligence training,119,0,0.0,0.065,654.0,70.72
senolytics,494,27,0.011,0.271,23.9,70.56
fda-approved,364,13,0.005,0.2,36.3,68.51
qualifying,4653,2248,0.935,2.553,2.7,68.49
engagement process,113,0,0.0,0.062,621.1,68.37
community engagement process,113,0,0.0,0.062,621.1,68.37
bench testing,113,0,0.0,0.062,621.1,68.37
epigenetic clock,307,8,0.003,0.168,49.2,68.25
embryonic stem cells,362,13,0.005,0.199,36.1,68.22
long-read sequencing,499,31,0.013,0.274,21.1,68.08
digital applications,112,0,0.0,0.061,615.6,67.97
wristband,112,0,0.0,0.061,615.6,67.97
ventral visual stream,111,0,0.0,0.061,610.1,67.57
genomic profiling,432,22,0.009,0.237,25.6,67.42
proliferating,9908,6647,2.766,5.437,2.0,67.27
peptide-1 receptor,110,0,0.0,0.06,604.6,67.17
naloxone dispensing,110,0,0.0,0.06,604.6,67.17
male bias,110,0,0.0,0.06,604.6,67.17
community-centered,222,3,0.001,0.122,90.4,67.12
receptor therapy,272,6,0.002,0.149,57.5,66.83
care systems,3975,1834,0.763,2.181,2.9,66.2
high-dimensional modeling,107,0,0.0,0.059,588.1,65.96
medial temporal,395,19,0.008,0.217,27.1,65.57
chimpanzee,105,0,0.0,0.058,577.2,65.15
management center,627,62,0.026,0.344,13.3,64.78
anti-toxin,104,0,0.0,0.057,571.7,64.74
peptide-1 receptor agonists,104,0,0.0,0.057,571.7,64.74
empowerment,4064,1942,0.808,2.23,2.8,64.71
human-based,103,0,0.0,0.057,566.2,64.33
language skills,226,4,0.002,0.124,70.3,63.94
explainable machine,206,3,0.001,0.113,83.9,63.58
explainable machine learning,206,3,0.001,0.113,83.9,63.58
placental trophoblasts,101,0,0.0,0.055,555.2,63.51
muscle progenitor,320,12,0.005,0.176,34.5,63.34
long-read,506,40,0.017,0.278,16.6,63.18
lifespan,1238,271,0.113,0.679,6.0,63.16
life cancer,100,0,0.0,0.055,549.7,63.09
life cancer survivors,100,0,0.0,0.055,549.7,63.09
quality life cancer,100,0,0.0,0.055,549.7,63.09
continuous monitoring,507,41,0.017,0.278,16.2,62.73
digital divide,99,0,0.0,0.054,544.2,62.68
gerotherapeutic,99,0,0.0,0.054,544.2,62.68
treatment algorithm,99,0,0.0,0.054,544.2,62.68
explainable,402,24,0.01,0.221,21.9,61.86
genome editor,149,1,0.0,0.082,158.6,61.84
housing insecurity,97,0,0.0,0.053,533.3,61.84
like peptide-1,97,0,0.0,0.053,533.3,61.84
glucagon like peptide-1,97,0,0.0,0.053,533.3,61.84
like peptide-1 receptor,97,0,0.0,0.053,533.3,61.84
hospice utilization,95,0,0.0,0.052,522.3,61.0
healthcare infrastructure,95,0,0.0,0.052,522.3,61.0
manufacture,3538,1682,0.7,1.941,2.8,60.68
vestibular system,405,26,0.011,0.222,20.4,60.65
mobility disability,94,0,0.0,0.052,516.8,60.57
functional dependence,93,0,0.0,0.051,511.3,60.15
anti-diabetic,235,6,0.002,0.129,49.7,59.88
just-in-time intervention,92,0,0.0,0.05,505.8,59.72
sepsis treatment,232,6,0.002,0.127,49.1,59.3
adolescent woman,91,0,0.0,0.05,500.3,59.29
disease threat,91,0,0.0,0.05,500.3,59.29
infectious disease threat,91,0,0.0,0.05,500.3,59.29
spatiotemporal imaging,166,2,0.001,0.091,97.8,59.05
explainable artificial intelligence,202,4,0.002,0.111,62.9,58.86
explainable artificial,202,4,0.002,0.111,62.9,58.86
multi-drug resistant bacteria,90,0,0.0,0.049,494.8,58.86
learning difficulty,89,0,0.0,0.049,489.4,58.43
provider interaction,89,0,0.0,0.049,489.4,58.43
oxycodone self-administration,88,0,0.0,0.048,483.9,57.99
alcohol co-use,88,0,0.0,0.048,483.9,57.99
lethal interaction,514,53,0.022,0.282,12.7,57.69
synthetic lethal interaction,514,53,0.022,0.282,12.7,57.69
lifelong,300,14,0.006,0.165,27.8,57.59
heart failure reduced,209,5,0.002,0.115,52.6,57.3
failure reduced ejection,209,5,0.002,0.115,52.6,57.3
failure reduced,209,5,0.002,0.115,52.6,57.3
anti-androgen therapy,86,0,0.0,0.047,472.9,57.12
sepsis survivor,86,0,0.0,0.047,472.9,57.12
visual disability,85,0,0.0,0.047,467.4,56.67
anti-viral resistance,84,0,0.0,0.046,461.9,56.23
pre-trained transformer,84,0,0.0,0.046,461.9,56.23
female reproductive tract,324,19,0.008,0.178,22.2,55.82
precision run-on sequencing,83,0,0.0,0.046,456.4,55.79
precision run-on,83,0,0.0,0.046,456.4,55.79
run-on sequencing,83,0,0.0,0.046,456.4,55.79
women subjects,83,0,0.0,0.046,456.4,55.79
senescence mitigation,83,0,0.0,0.046,456.4,55.79
plaque instability,83,0,0.0,0.046,456.4,55.79
transition adulthood,341,22,0.009,0.187,20.2,55.53
oligonucleotide therapeutics,82,0,0.0,0.045,450.9,55.34
alzheimers project,82,0,0.0,0.045,450.9,55.34
east african,82,0,0.0,0.045,450.9,55.34
epigenetic aging,354,25,0.01,0.194,18.5,54.9
neurovascular pathology,150,2,0.001,0.082,88.4,54.89
basal stem cell,81,0,0.0,0.044,445.5,54.89
b16f10,81,0,0.0,0.044,445.5,54.89
obesogenic diet,81,0,0.0,0.044,445.5,54.89
anti-tumor agent,80,0,0.0,0.044,440.0,54.44
women trial,80,0,0.0,0.044,440.0,54.44
older population,2229,932,0.388,1.223,3.2,54.22
cell infiltrate,2025,803,0.334,1.111,3.3,54.06
immune cell infiltrate,2025,803,0.334,1.111,3.3,54.06
omics,6219,4133,1.72,3.412,2.0,54.04
nonpharmacologic therapy,654,104,0.043,0.359,8.3,54.04
resource utilization,79,0,0.0,0.043,434.5,53.99
spatial,5225,3267,1.359,2.867,2.1,53.94
parenting intervention,398,35,0.015,0.218,14.9,53.89
vascular imaging,146,2,0.001,0.08,86.0,53.83
artificial intelligence,4620,2765,1.151,2.535,2.2,53.69
exposomics,178,4,0.002,0.098,55.4,53.56
fetoproteins,78,0,0.0,0.043,429.0,53.53
racial minority women,78,0,0.0,0.043,429.0,53.53
disability status,78,0,0.0,0.043,429.0,53.53
affinity purification,78,0,0.0,0.043,429.0,53.53
translating ribosome affinity,77,0,0.0,0.042,423.5,53.08
ribosome affinity purification,77,0,0.0,0.042,423.5,53.08
purification rna-sequencing,77,0,0.0,0.042,423.5,53.08
affinity purification rna-sequencing,77,0,0.0,0.042,423.5,53.08
ribosome affinity,77,0,0.0,0.042,423.5,53.08
translating ribosome,77,0,0.0,0.042,423.5,53.08
psychiatric inpatient,77,0,0.0,0.042,423.5,53.08
care resource utilization,77,0,0.0,0.042,423.5,53.08
senescence mapping,77,0,0.0,0.042,423.5,53.08
senomorphic,76,0,0.0,0.042,418.0,52.62
dorsal visual stream,76,0,0.0,0.042,418.0,52.62
dorsal visual,76,0,0.0,0.042,418.0,52.62
anti-microbial susceptibility,76,0,0.0,0.042,418.0,52.62
care infections,76,0,0.0,0.042,418.0,52.62
melanoma tumor,235,10,0.004,0.129,30.3,52.28
modified,2182,941,0.392,1.197,3.1,52.2
multiple omics,5854,3903,1.624,3.212,2.0,52.18
infectious keratitis,75,0,0.0,0.041,412.5,52.15
tumor testing,75,0,0.0,0.041,412.5,52.15
circulating tumor testing,75,0,0.0,0.041,412.5,52.15
genetic diagnostics,75,0,0.0,0.041,412.5,52.15
identification,8746,6619,2.754,4.799,1.7,51.93
age-related,2394,1096,0.456,1.314,2.9,51.76
cascade genetic,74,0,0.0,0.041,407.1,51.69
cascade genetic testing,74,0,0.0,0.041,407.1,51.69
disabilities experience,74,0,0.0,0.041,407.1,51.69
persons,33859,33728,14.035,18.579,1.3,51.62
acute kidney failure,433,48,0.02,0.238,11.8,51.43
antigen receptor natural,73,0,0.0,0.04,401.6,51.22
receptor natural killer,73,0,0.0,0.04,401.6,51.22
receptor natural,73,0,0.0,0.04,401.6,51.22
euroqol,73,0,0.0,0.04,401.6,51.22
lung stem cell,73,0,0.0,0.04,401.6,51.22
lung stem,73,0,0.0,0.04,401.6,51.22
nonpharmacologic,654,117,0.049,0.359,7.4,51.04
reduced ejection,209,8,0.003,0.115,33.5,50.76
reduced ejection fraction,209,8,0.003,0.115,33.5,50.76
directive,72,0,0.0,0.04,396.1,50.76
cell stemness,72,0,0.0,0.04,396.1,50.76
autism biomarker,72,0,0.0,0.04,396.1,50.76
post sepsis,72,0,0.0,0.04,396.1,50.76
induction,4725,2990,1.244,2.593,2.1,50.47
women morbidity,71,0,0.0,0.039,390.6,50.28
reduce animal,71,0,0.0,0.039,390.6,50.28
microbiome community,71,0,0.0,0.039,390.6,50.28
economic security,71,0,0.0,0.039,390.6,50.28
sepsis mortality,149,3,0.001,0.082,60.7,50.12
central nervous system,5685,3859,1.606,3.119,1.9,50.07
central nervous,5685,3861,1.607,3.119,1.9,50.03
transcriptomics,15332,13501,5.618,8.413,1.5,50.0
community engaged intervention,148,3,0.001,0.081,60.3,49.87
germ,4058,2448,1.019,2.227,2.2,49.82
caregiver quality,70,0,0.0,0.038,385.1,49.81
caregiver quality life,70,0,0.0,0.038,385.1,49.81
candidate identification,2491,1212,0.504,1.367,2.7,49.76
recombination deficiency,219,10,0.004,0.12,28.2,49.43
homologous recombination deficiency,219,10,0.004,0.12,28.2,49.43
real world evidence,182,6,0.002,0.1,38.5,49.25
world evidence,182,6,0.002,0.1,38.5,49.25
american indian,793,182,0.076,0.435,5.7,49.21
diet quality,315,26,0.011,0.173,15.8,49.03
people living,863,215,0.089,0.474,5.3,48.93
hispanic women,245,14,0.006,0.134,22.7,48.88
personalized biomarkers,68,0,0.0,0.037,374.1,48.86
fiber assay,68,0,0.0,0.037,374.1,48.86
cancer cell stemness,68,0,0.0,0.037,374.1,48.86
labor delivery,67,0,0.0,0.037,368.6,48.37
later,1193,388,0.161,0.655,4.1,48.33
modalities,406,49,0.02,0.223,10.9,48.09
sleep quantity,554,95,0.04,0.304,7.7,47.96
visual discrimination,66,0,0.0,0.036,363.2,47.89
fast care interoperability,66,0,0.0,0.036,363.2,47.89
care interoperability resources,66,0,0.0,0.036,363.2,47.89
fast care,66,0,0.0,0.036,363.2,47.89
care interoperability,66,0,0.0,0.036,363.2,47.89
airway stem cells,66,0,0.0,0.036,363.2,47.89
synthetic lethal,528,88,0.037,0.29,7.9,47.47
immune cell,2216,1066,0.444,1.216,2.7,47.46
chronic pain syndrome,65,0,0.0,0.036,357.7,47.4
covid-19 sequelae,65,0,0.0,0.036,357.7,47.4
ethnic population,2497,1283,0.534,1.37,2.6,47.09
resilience biomarker,64,0,0.0,0.035,352.2,46.91
precision cancer therapy,63,0,0.0,0.035,346.7,46.42
adeno-associated virus delivery,63,0,0.0,0.035,346.7,46.42
virus delivery,63,0,0.0,0.035,346.7,46.42
vasculogenic,63,0,0.0,0.035,346.7,46.42
spatial molecular imaging,63,0,0.0,0.035,346.7,46.42
healthcare partner,63,0,0.0,0.035,346.7,46.42
quantity,572,109,0.045,0.314,6.9,46.22
cell senescence induction,258,19,0.008,0.142,17.7,46.15
infiltrate,2631,1417,0.59,1.444,2.4,45.93
indian tribe,62,0,0.0,0.034,341.2,45.93
american indian tribe,62,0,0.0,0.034,341.2,45.93
recurrence prevention,62,0,0.0,0.034,341.2,45.93
chatgpt,62,0,0.0,0.034,341.2,45.93
pre-clinical infectious,62,0,0.0,0.034,341.2,45.93
pre-clinical infectious diseases,62,0,0.0,0.034,341.2,45.93
four repeats,62,0,0.0,0.034,341.2,45.93
biomarker identification,2982,1700,0.707,1.636,2.3,45.79
women,9655,8011,3.333,5.298,1.6,45.52
quiescent stem,61,0,0.0,0.033,335.7,45.43
quiescent stem cells,61,0,0.0,0.033,335.7,45.43
infected women,172,7,0.003,0.094,31.4,45.19
tracing,1385,545,0.227,0.76,3.4,44.99
engaged intervention,152,5,0.002,0.083,38.3,44.94
lymphoid progenitors,60,0,0.0,0.033,330.2,44.92
senescence induction,260,21,0.009,0.143,16.2,44.86
anti-epileptic,201,11,0.005,0.11,23.6,44.82
single-cell sequencing,11681,10191,4.241,6.41,1.5,44.65
long-term memory,258,21,0.009,0.142,16.0,44.56
recommendation,11466,9979,4.152,6.292,1.5,44.5
artificial,5479,3963,1.649,3.006,1.8,44.45
equity,7310,5733,2.386,4.011,1.7,44.43
alveolar stem cell,59,0,0.0,0.032,324.7,44.42
covid-19 burden,59,0,0.0,0.032,324.7,44.42
glioblastoma stem cell,59,0,0.0,0.032,324.7,44.42
glial stem cell,59,0,0.0,0.032,324.7,44.42
glial stem,59,0,0.0,0.032,324.7,44.42
autism etiology,59,0,0.0,0.032,324.7,44.42
chronic illness,266,23,0.01,0.146,15.1,44.28
single-cell,11978,10555,4.392,6.573,1.5,44.12
productivity,10285,8781,3.654,5.644,1.5,44.09
mental disability,58,0,0.0,0.032,319.3,43.91
tdp43,236,18,0.007,0.129,17.1,43.59
inequity,1930,947,0.394,1.059,2.7,43.42
diameter,1731,804,0.335,0.95,2.8,43.41
autoantibody binding,57,0,0.0,0.031,313.8,43.4
clostridioides difficile vaccine,57,0,0.0,0.031,313.8,43.4
testosterone deficiency,57,0,0.0,0.031,313.8,43.4
real world,808,233,0.097,0.443,4.6,43.19
disparate,1598,718,0.299,0.877,2.9,43.03
rejuvenation therapy,56,0,0.0,0.031,308.3,42.89
blood imaging,56,0,0.0,0.031,308.3,42.89
exposure mixture,121,3,0.001,0.066,49.3,42.88
disabling,1363,563,0.234,0.748,3.2,42.84
tumor promotion,1945,973,0.405,1.067,2.6,42.74
revascularization,406,64,0.027,0.223,8.3,42.73
intestinal stem cells,277,28,0.012,0.152,12.9,42.62
cumulative exposure,106,2,0.001,0.058,62.5,42.57
human stem cell-derived,244,21,0.009,0.134,15.2,42.47
cell-free test,55,0,0.0,0.03,302.8,42.37
technology platform,1498,666,0.277,0.822,3.0,42.07
eligibility,4365,3047,1.268,2.395,1.9,42.02
multimodal fusion,86,1,0.0,0.047,91.6,41.9
stem cell maintenance,254,24,0.01,0.139,13.8,41.86
morphological criteria,54,0,0.0,0.03,297.3,41.85
diet composition,54,0,0.0,0.03,297.3,41.85
isocaloric,54,0,0.0,0.03,297.3,41.85
loss prevention,54,0,0.0,0.03,297.3,41.85
sodium glucose,54,0,0.0,0.03,297.3,41.85
eligibility determination,4289,2991,1.245,2.353,1.9,41.72
artificial intelligence technology,170,9,0.004,0.093,24.3,41.59
intelligence technology,170,9,0.004,0.093,24.3,41.59
remote technology,53,0,0.0,0.029,291.8,41.32
cortical vasculature,53,0,0.0,0.029,291.8,41.32
concordant care,53,0,0.0,0.029,291.8,41.32
bone loss prevention,53,0,0.0,0.029,291.8,41.32
severe sepsis,53,0,0.0,0.029,291.8,41.32
co-transporter,53,0,0.0,0.029,291.8,41.32
diastolic heart failure,267,28,0.012,0.147,12.5,41.24
diastolic heart,267,28,0.012,0.147,12.5,41.24
reduction,9546,8270,3.441,5.238,1.5,41.05
cell infiltration,1155,455,0.189,0.634,3.3,41.05
exposome,432,79,0.033,0.237,7.2,41.01
superresolution,1296,547,0.228,0.711,3.1,41.0
