term,recent_n,prior_n,share_prior_pct,share_recent_pct,growth_x,score
persistent inflammation,52,27,0.019,0.035,1.9,4.6
cognitive deficits,334,256,0.175,0.226,1.3,4.6
area receiver operating,386,301,0.206,0.261,1.3,4.6
early neural,52,27,0.019,0.035,1.9,4.6
covariates,812,681,0.467,0.548,1.2,4.6
band power,62,34,0.023,0.042,1.8,4.6
aptamer-based,52,27,0.019,0.035,1.9,4.6
ovariectomy,52,27,0.019,0.035,1.9,4.6
limited effectiveness,52,27,0.019,0.035,1.9,4.6
sequencing further,52,27,0.019,0.035,1.9,4.6
care-seeking,52,27,0.019,0.035,1.9,4.6
modification,2538,2284,1.565,1.714,1.1,4.59
near,2470,2220,1.521,1.668,1.1,4.59
activation downstream,73,42,0.029,0.049,1.7,4.59
speech,815,684,0.469,0.551,1.2,4.59
internalization,428,338,0.232,0.289,1.2,4.59
compaction,299,226,0.155,0.202,1.3,4.59
non-monotonic,101,63,0.043,0.068,1.6,4.59
myoblasts,169,117,0.08,0.114,1.4,4.59
species exhibiting,40,19,0.013,0.027,2.1,4.59
essential regulators,49,25,0.017,0.033,1.9,4.59
bombus terrestris,49,25,0.017,0.033,1.9,4.59
element-binding,40,19,0.013,0.027,2.1,4.59
extreme environments,119,77,0.053,0.08,1.5,4.59
predictive utility,49,25,0.017,0.033,1.9,4.59
ev-associated,40,19,0.013,0.027,2.1,4.59
engagers,40,19,0.013,0.027,2.1,4.59
optima,101,63,0.043,0.068,1.6,4.59
microglial morphology,40,19,0.013,0.027,2.1,4.59
learning early,40,19,0.013,0.027,2.1,4.59
growing recognition,49,25,0.017,0.033,1.9,4.59
essential mitochondrial,40,19,0.013,0.027,2.1,4.59
often driven,49,25,0.017,0.033,1.9,4.59
loss impairs,40,19,0.013,0.027,2.1,4.59
early biomarkers,49,25,0.017,0.033,1.9,4.59
vessel occlusion,73,42,0.029,0.049,1.7,4.59
delivery efficiency,40,19,0.013,0.027,2.1,4.59
pro-resolving,49,25,0.017,0.033,1.9,4.59
high-plex,49,25,0.017,0.033,1.9,4.59
rigorous validation,40,19,0.013,0.027,2.1,4.59
fourier-transform,40,19,0.013,0.027,2.1,4.59
sub-micromolar,40,19,0.013,0.027,2.1,4.59
clinical validation,143,96,0.066,0.097,1.5,4.59
soundscapes,40,19,0.013,0.027,2.1,4.59
coexists,40,19,0.013,0.027,2.1,4.59
rates comparable,49,25,0.017,0.033,1.9,4.59
analyzed descriptive statistics,49,25,0.017,0.033,1.9,4.59
cross-scale,40,19,0.013,0.027,2.1,4.59
cbioportal,40,19,0.013,0.027,2.1,4.59
levels primary,40,19,0.013,0.027,2.1,4.59
african region,40,19,0.013,0.027,2.1,4.59
chemotherapeutic agent,49,25,0.017,0.033,1.9,4.59
public education,40,19,0.013,0.027,2.1,4.59
hematoma,40,19,0.013,0.027,2.1,4.59
autonomic function,40,19,0.013,0.027,2.1,4.59
healthcare organizations,40,19,0.013,0.027,2.1,4.59
fluorescence,2567,2312,1.584,1.734,1.1,4.58
bifunctional,159,109,0.075,0.107,1.4,4.58
levels whereas,43,21,0.014,0.029,2.0,4.58
cells thereby,124,81,0.056,0.084,1.5,4.58
exon skipping,97,60,0.041,0.066,1.6,4.58
references,381,297,0.204,0.257,1.3,4.58
thermal conditions,43,21,0.014,0.029,2.0,4.58
rna-based,175,122,0.084,0.118,1.4,4.58
still face,43,21,0.014,0.029,2.0,4.58
pathogenic likely pathogenic,97,60,0.041,0.066,1.6,4.58
require precise,46,23,0.016,0.031,2.0,4.58
microbial adaptation,46,23,0.016,0.031,2.0,4.58
lipid-associated,46,23,0.016,0.031,2.0,4.58
conserved developmental,43,21,0.014,0.029,2.0,4.58
chronic autoimmune,46,23,0.016,0.031,2.0,4.58
signaling cellular,43,21,0.014,0.029,2.0,4.58
resolved through,46,23,0.016,0.031,2.0,4.58
bottom-up proteomics,46,23,0.016,0.031,2.0,4.58
discovery disease,43,21,0.014,0.029,2.0,4.58
lays groundwork future,43,21,0.014,0.029,2.0,4.58
mechanistic roles,46,23,0.016,0.031,2.0,4.58
ancestral recombination,46,23,0.016,0.031,2.0,4.58
tanzanian,46,23,0.016,0.031,2.0,4.58
persisted even,46,23,0.016,0.031,2.0,4.58
linguistically,43,21,0.014,0.029,2.0,4.58
pathogen-induced,46,23,0.016,0.031,2.0,4.58
reoxygenation,43,21,0.014,0.029,2.0,4.58
structural evidence,43,21,0.014,0.029,2.0,4.58
array recordings,43,21,0.014,0.029,2.0,4.58
making suitable,97,60,0.041,0.066,1.6,4.58
tissue environments,43,21,0.014,0.029,2.0,4.58
cardiac structure function,43,21,0.014,0.029,2.0,4.58
selectively target,97,60,0.041,0.066,1.6,4.58
activity relationship,46,23,0.016,0.031,2.0,4.58
caloric intake,46,23,0.016,0.031,2.0,4.58
busco score,43,21,0.014,0.029,2.0,4.58
saponins,43,21,0.014,0.029,2.0,4.58
actionable targets,46,23,0.016,0.031,2.0,4.58
tukey,46,23,0.016,0.031,2.0,4.58
redcap,43,21,0.014,0.029,2.0,4.58
diversifying,129,85,0.058,0.087,1.5,4.57
activates,1559,1369,0.938,1.053,1.1,4.57
flexibly,406,319,0.219,0.274,1.3,4.57
neuronal maturation,89,54,0.037,0.06,1.6,4.57
reinforcement,645,531,0.364,0.436,1.2,4.57
pressing,344,265,0.182,0.232,1.3,4.57
shell,359,278,0.19,0.242,1.3,4.57
black-box,81,48,0.033,0.055,1.7,4.57
fate mapping,59,32,0.022,0.04,1.8,4.57
cell abundance,66,37,0.025,0.045,1.8,4.57
mass spectrometry imaging,106,67,0.046,0.072,1.6,4.57
myotube,66,37,0.025,0.045,1.8,4.57
adduct,59,32,0.022,0.04,1.8,4.57
hemolytic,89,54,0.037,0.06,1.6,4.57
faecium,93,57,0.039,0.063,1.6,4.57
gc-ms,115,74,0.051,0.078,1.5,4.57
molecular clinical,59,32,0.022,0.04,1.8,4.57
antidepressant,247,182,0.125,0.167,1.3,4.57
lysosomal storage,93,57,0.039,0.063,1.6,4.57
plant-associated,115,74,0.051,0.078,1.5,4.57
intercellular signaling,81,48,0.033,0.055,1.7,4.57
stem cells hipscs,106,67,0.046,0.072,1.6,4.57
higher-order cognitive,66,37,0.025,0.045,1.8,4.57
adaptation environmental,93,57,0.039,0.063,1.6,4.57
alpha-band,93,57,0.039,0.063,1.6,4.57
atomic-level,89,54,0.037,0.06,1.6,4.57
skill acquisition,59,32,0.022,0.04,1.8,4.57
spss,329,252,0.173,0.222,1.3,4.57
compactness,66,37,0.025,0.045,1.8,4.57
here integrative,59,32,0.022,0.04,1.8,4.57
brain mapping,59,32,0.022,0.04,1.8,4.57
risk-based,66,37,0.025,0.045,1.8,4.57
conducted scoping review,66,37,0.025,0.045,1.8,4.57
functional annotation,338,260,0.178,0.228,1.3,4.56
mesenchymal stromal cells,134,89,0.061,0.091,1.5,4.56
backgrounds,649,535,0.367,0.438,1.2,4.56
electron,2412,2167,1.485,1.629,1.1,4.56
extensively studied,572,466,0.319,0.386,1.2,4.56
females,3338,3041,2.084,2.255,1.1,4.56
dorsal root,248,183,0.125,0.168,1.3,4.56
deformation,440,349,0.239,0.297,1.2,4.56
anabolic,187,132,0.09,0.126,1.4,4.56
molecular cellular,448,356,0.244,0.303,1.2,4.56
function unclear,120,78,0.053,0.081,1.5,4.56
adaptively,199,142,0.097,0.134,1.4,4.55
full,3695,3380,2.316,2.496,1.1,4.55
docking molecular,102,64,0.044,0.069,1.6,4.55
antigen-presenting cells,125,82,0.056,0.084,1.5,4.55
cardiovascular disease,939,798,0.547,0.634,1.2,4.55
culture conditions,255,189,0.13,0.172,1.3,4.55
host-pathogen interactions,236,173,0.119,0.159,1.3,4.55
non-significant,223,162,0.111,0.151,1.4,4.55
biotherapeutic,56,30,0.021,0.038,1.8,4.55
chromosome-level genome assembly,111,71,0.049,0.075,1.5,4.55
obesity-related,125,82,0.056,0.084,1.5,4.55
upregulate,317,242,0.166,0.214,1.3,4.55
reintroduction,102,64,0.044,0.069,1.6,4.55
tumor antigen,56,30,0.021,0.038,1.8,4.55
lactiplantibacillus,56,30,0.021,0.038,1.8,4.55
systematic screening,56,30,0.021,0.038,1.8,4.55
disorder caused mutations,56,30,0.021,0.038,1.8,4.55
cell biology,468,374,0.256,0.316,1.2,4.54
mechanisms drive,194,138,0.095,0.131,1.4,4.54
space,4222,3881,2.659,2.852,1.1,4.54
complex microbial,140,94,0.064,0.095,1.5,4.54
treatment options,652,538,0.369,0.44,1.2,4.54
endovascular,130,86,0.059,0.088,1.5,4.54
age-related decline,130,86,0.059,0.088,1.5,4.54
through complex,130,86,0.059,0.088,1.5,4.54
lifelong,318,243,0.167,0.215,1.3,4.54
uncover molecular,116,75,0.051,0.078,1.5,4.54
extracellular matrix deposition,63,35,0.024,0.043,1.8,4.54
biological variable,63,35,0.024,0.043,1.8,4.54
aversive stimuli,63,35,0.024,0.043,1.8,4.54
receptor-mediated,172,120,0.082,0.116,1.4,4.53
human cortical,183,129,0.088,0.124,1.4,4.53
medial,1275,1107,0.759,0.861,1.1,4.53
structural functional,954,812,0.556,0.644,1.2,4.53
antibiotic resistance,1026,878,0.602,0.693,1.2,4.53
descriptive,1161,1002,0.687,0.784,1.1,4.53
subject-specific,189,134,0.092,0.128,1.4,4.53
autosomal dominant,270,202,0.138,0.182,1.3,4.53
feature engineering,74,43,0.029,0.05,1.7,4.53
synucleinopathy,78,46,0.032,0.053,1.7,4.53
parpi,74,43,0.029,0.05,1.7,4.53
ipsc derived,161,111,0.076,0.109,1.4,4.53
bacteriophages phages,74,43,0.029,0.05,1.7,4.53
finely tuned,107,68,0.047,0.072,1.5,4.53
enrichment gsea,94,58,0.04,0.063,1.6,4.53
multi-domain,156,107,0.073,0.105,1.4,4.53
through local,90,55,0.038,0.061,1.6,4.53
impact climate,74,43,0.029,0.05,1.7,4.53
secretion,2387,2145,1.47,1.612,1.1,4.52
molecular diagnostics,103,65,0.045,0.07,1.6,4.52
healthy controls,1608,1416,0.97,1.086,1.1,4.52
openly,195,139,0.095,0.132,1.4,4.52
multifaceted role,53,28,0.019,0.036,1.9,4.52
datasets human,103,65,0.045,0.07,1.6,4.52
attention networks,82,49,0.034,0.055,1.6,4.52
base editing,126,83,0.057,0.085,1.5,4.52
non-malignant,103,65,0.045,0.07,1.6,4.52
cross-modality,53,28,0.019,0.036,1.9,4.52
regulating cellular,86,52,0.036,0.058,1.6,4.52
trained only,53,28,0.019,0.036,1.9,4.52
pareto,53,28,0.019,0.036,1.9,4.52
error rmse,86,52,0.036,0.058,1.6,4.52
through adaptive,53,28,0.019,0.036,1.9,4.52
protein atlas,53,28,0.019,0.036,1.9,4.52
post-surgery,103,65,0.045,0.07,1.6,4.52
ventricular systolic,53,28,0.019,0.036,1.9,4.52
healthy,7408,6930,4.749,5.004,1.1,4.51
components,6304,5871,4.023,4.258,1.1,4.51
biocatalytic,67,38,0.026,0.045,1.7,4.51
reconstitution,439,349,0.239,0.297,1.2,4.51
interneurons,782,656,0.45,0.528,1.2,4.51
state-specific,99,62,0.042,0.067,1.6,4.51
grapevine,141,95,0.065,0.095,1.5,4.51
atherosclerotic,358,278,0.19,0.242,1.3,4.51
prefrontal cortex mpfc,220,160,0.11,0.149,1.4,4.51
digestion,481,386,0.264,0.325,1.2,4.51
lasso,299,227,0.156,0.202,1.3,4.51
complex structures,173,121,0.083,0.117,1.4,4.51
human tissue,190,135,0.093,0.128,1.4,4.51
hipsc-cms,67,38,0.026,0.045,1.7,4.51
flavonoid,141,95,0.065,0.095,1.5,4.51
age-related cognitive decline,67,38,0.026,0.045,1.7,4.51
sting,226,165,0.113,0.153,1.3,4.51
play essential roles,131,87,0.06,0.088,1.5,4.51
through deep,67,38,0.026,0.045,1.7,4.51
oxide,527,427,0.293,0.356,1.2,4.5
full-length,1083,931,0.638,0.732,1.1,4.5
timepoints,509,411,0.282,0.344,1.2,4.5
heightened sensitivity,60,33,0.023,0.041,1.8,4.5
directly targeting,60,33,0.023,0.041,1.8,4.5
counteracts,179,126,0.086,0.121,1.4,4.5
memory retention,60,33,0.023,0.041,1.8,4.5
three core,50,26,0.018,0.034,1.9,4.5
night,423,335,0.23,0.286,1.2,4.5
climate warming,117,76,0.052,0.079,1.5,4.5
premature stop codon,50,26,0.018,0.034,1.9,4.5
virtual reality,266,199,0.136,0.18,1.3,4.5
composition function,168,117,0.08,0.113,1.4,4.5
trabecular,152,104,0.071,0.103,1.4,4.5
inhibitory control,152,104,0.071,0.103,1.4,4.5
mechanisms essential,50,26,0.018,0.034,1.9,4.5
fern,50,26,0.018,0.034,1.9,4.5
process driven,60,33,0.023,0.041,1.8,4.5
postpartum,279,210,0.144,0.188,1.3,4.5
existing deep,50,26,0.018,0.034,1.9,4.5
conservation restoration,50,26,0.018,0.034,1.9,4.5
glutamatergic signaling,50,26,0.018,0.034,1.9,4.5
malignant cell,60,33,0.023,0.041,1.8,4.5
here temporal,50,26,0.018,0.034,1.9,4.5
detection through,50,26,0.018,0.034,1.9,4.5
detection management,50,26,0.018,0.034,1.9,4.5
gender-specific,60,33,0.023,0.041,1.8,4.5
relevant published,50,26,0.018,0.034,1.9,4.5
scopus embase,50,26,0.018,0.034,1.9,4.5
stays,137,92,0.063,0.093,1.5,4.49
central nervous system,1280,1113,0.763,0.865,1.1,4.49
affinities,566,462,0.317,0.382,1.2,4.49
gaba,566,462,0.317,0.382,1.2,4.49
differential expression,969,827,0.567,0.655,1.2,4.49
expression assessed,71,41,0.028,0.048,1.7,4.49
pathological states,71,41,0.028,0.048,1.7,4.49
circuit function,142,96,0.066,0.096,1.5,4.49
radiation therapy,137,92,0.063,0.093,1.5,4.49
liquid liquid phase,47,24,0.016,0.032,1.9,4.49
pangenomes,91,56,0.038,0.061,1.6,4.49
oxide synthase,113,73,0.05,0.076,1.5,4.49
hipscs,142,96,0.066,0.096,1.5,4.49
orthogroups,47,24,0.016,0.032,1.9,4.49
proteolysis-targeting,47,24,0.016,0.032,1.9,4.49
accurately predicting,142,96,0.066,0.096,1.5,4.49
lipid content,95,59,0.04,0.064,1.6,4.49
communities dominated,47,24,0.016,0.032,1.9,4.49
epigenetic aging,95,59,0.04,0.064,1.6,4.49
genomic plasticity,47,24,0.016,0.032,1.9,4.49
coordinate system,71,41,0.028,0.048,1.7,4.49
pre-trained protein,47,24,0.016,0.032,1.9,4.49
protein profiles,71,41,0.028,0.048,1.7,4.49
redirected,71,41,0.028,0.048,1.7,4.49
counterintuitive,71,41,0.028,0.048,1.7,4.49
hyperbolic,47,24,0.016,0.032,1.9,4.49
car-t therapy,47,24,0.016,0.032,1.9,4.49
regions near,47,24,0.016,0.032,1.9,4.49
demographic inference,47,24,0.016,0.032,1.9,4.49
purposively,113,73,0.05,0.076,1.5,4.49
second round,47,24,0.016,0.032,1.9,4.49
variant carriers,71,41,0.028,0.048,1.7,4.49
excitatory,1532,1347,0.923,1.035,1.1,4.48
broad-spectrum,459,367,0.251,0.31,1.2,4.48
irradiation,354,275,0.188,0.239,1.3,4.48
reduced hepatic,41,20,0.014,0.028,2.0,4.48
manifold,281,212,0.145,0.19,1.3,4.48
experts,635,524,0.359,0.429,1.2,4.48
cognitive function,605,497,0.341,0.409,1.2,4.48
hyperspectral imaging,41,20,0.014,0.028,2.0,4.48
unlock,158,109,0.075,0.107,1.4,4.48
influence bacterial,44,22,0.015,0.03,2.0,4.48
biology clinical,41,20,0.014,0.028,2.0,4.48
mechanisms relevant,41,20,0.014,0.028,2.0,4.48
raises concerns,87,53,0.036,0.059,1.6,4.48
early gene expression,41,20,0.014,0.028,2.0,4.48
pest,459,367,0.251,0.31,1.2,4.48
knowledge gaps,254,189,0.13,0.172,1.3,4.48
human donor,44,22,0.015,0.03,2.0,4.48
external sensory,41,20,0.014,0.028,2.0,4.48
biodiversity ecosystem,83,50,0.034,0.056,1.6,4.48
built around,44,22,0.015,0.03,2.0,4.48
multi-cohort,79,47,0.032,0.053,1.7,4.48
optimising,169,118,0.081,0.114,1.4,4.48
four cohorts,44,22,0.015,0.03,2.0,4.48
within-family,44,22,0.015,0.03,2.0,4.48
dynamic molecular,41,20,0.014,0.028,2.0,4.48
manual intervention,44,22,0.015,0.03,2.0,4.48
crop productivity,87,53,0.036,0.059,1.6,4.48
chemogenetics,75,44,0.03,0.051,1.7,4.48
antimicrobial susceptibility testing,87,53,0.036,0.059,1.6,4.48
agricultural landscapes,44,22,0.015,0.03,2.0,4.48
fully explained,75,44,0.03,0.051,1.7,4.48
wasserstein,41,20,0.014,0.028,2.0,4.48
pdac tumors,41,20,0.014,0.028,2.0,4.48
bap1,44,22,0.015,0.03,2.0,4.48
detection treatment,79,47,0.032,0.053,1.7,4.48
experiential,83,50,0.034,0.056,1.6,4.48
learning predicts,83,50,0.034,0.056,1.6,4.48
injury through,44,22,0.015,0.03,2.0,4.48
assay quantify,44,22,0.015,0.03,2.0,4.48
approximately hours,44,22,0.015,0.03,2.0,4.48
activation canonical,44,22,0.015,0.03,2.0,4.48
cytotoxicity assays,41,20,0.014,0.028,2.0,4.48
validation testing,44,22,0.015,0.03,2.0,4.48
essential disease,41,20,0.014,0.028,2.0,4.48
detect respond,44,22,0.015,0.03,2.0,4.48
poses substantial,44,22,0.015,0.03,2.0,4.48
biallelic variants,41,20,0.014,0.028,2.0,4.48
youden,44,22,0.015,0.03,2.0,4.48
undergo,2050,1831,1.255,1.385,1.1,4.47
annotated,1492,1310,0.898,1.008,1.1,4.47
experimentally validated,318,244,0.167,0.215,1.3,4.47
syntax,118,77,0.053,0.08,1.5,4.47
fluorescence lifetime imaging,109,70,0.048,0.074,1.5,4.47
inclusive,275,207,0.142,0.186,1.3,4.47
pseudotime,153,105,0.072,0.103,1.4,4.47
lens,394,310,0.212,0.266,1.3,4.47
conserved role,153,105,0.072,0.103,1.4,4.47
prioritise,204,147,0.101,0.138,1.4,4.47
amide,118,77,0.053,0.08,1.5,4.47
roles gene,64,36,0.025,0.043,1.7,4.47
one-third,303,231,0.158,0.205,1.3,4.47
responses through,123,81,0.056,0.083,1.5,4.47
protein function,514,416,0.285,0.347,1.2,4.47
various cellular,198,142,0.097,0.134,1.4,4.47
spatially heterogeneous,100,63,0.043,0.068,1.6,4.47
growth through,123,81,0.056,0.083,1.5,4.47
roles immune,57,31,0.021,0.039,1.8,4.47
druggability,57,31,0.021,0.039,1.8,4.47
influence plant,57,31,0.021,0.039,1.8,4.47
reactivates,57,31,0.021,0.039,1.8,4.47
microcosm,64,36,0.025,0.043,1.7,4.47
initiative adni,100,63,0.043,0.068,1.6,4.47
neuroimaging initiative adni,100,63,0.043,0.068,1.6,4.47
bonferroni correction,57,31,0.021,0.039,1.8,4.47
doxorubicin,181,128,0.088,0.122,1.4,4.46
genome mining,96,60,0.041,0.065,1.6,4.46
inducible,896,761,0.521,0.605,1.2,4.46
synchrony,429,341,0.234,0.29,1.2,4.46
contaminants,236,174,0.119,0.159,1.3,4.46
largely limited,96,60,0.041,0.065,1.6,4.46
staging,269,202,0.138,0.182,1.3,4.46
menopause,133,89,0.061,0.09,1.5,4.46
themes,669,555,0.38,0.452,1.2,4.46
adolescent brain,211,153,0.105,0.143,1.4,4.46
methanogenesis,96,60,0.041,0.065,1.6,4.46
skin,1889,1681,1.152,1.276,1.1,4.45
cryopreservation,105,67,0.046,0.071,1.5,4.45
manufacturing,430,342,0.234,0.29,1.2,4.45
genetically encoded,397,313,0.214,0.268,1.3,4.45
metagenome-assembled genomes,256,191,0.131,0.173,1.3,4.45
regulatory interactions,154,106,0.073,0.104,1.4,4.45
lewy body,114,74,0.051,0.077,1.5,4.45
full spectrum,154,106,0.073,0.104,1.4,4.45
function metabolic,54,29,0.02,0.036,1.8,4.45
vision loss,154,106,0.073,0.104,1.4,4.45
antarctica,68,39,0.027,0.046,1.7,4.45
learning spatial,54,29,0.02,0.036,1.8,4.45
hold-out,68,39,0.027,0.046,1.7,4.45
nearly identical,149,102,0.07,0.101,1.4,4.45
monitoring systems,54,29,0.02,0.036,1.8,4.45
redox-sensitive,54,29,0.02,0.036,1.8,4.45
role immune,176,124,0.085,0.119,1.4,4.45
mapt,105,67,0.046,0.071,1.5,4.45
vitro demonstrated,54,29,0.02,0.036,1.8,4.45
knockdown reduced,54,29,0.02,0.036,1.8,4.45
frozen,313,240,0.164,0.211,1.3,4.44
neuron,2197,1970,1.35,1.484,1.1,4.44
exceptionally,351,273,0.187,0.237,1.3,4.44
reactivity,812,685,0.469,0.548,1.2,4.44
epstein-barr,139,94,0.064,0.094,1.5,4.44
environmental cues,343,266,0.182,0.232,1.3,4.44
interferometry,88,54,0.037,0.059,1.6,4.44
lateral sclerosis,547,446,0.306,0.369,1.2,4.44
continuous monitoring,134,90,0.062,0.091,1.5,4.44
condition-dependent,61,34,0.023,0.041,1.8,4.44
squamous cell,406,321,0.22,0.274,1.2,4.44
dedifferentiation,160,111,0.076,0.108,1.4,4.44
soil properties,72,42,0.029,0.049,1.7,4.44
protective mechanisms,61,34,0.023,0.041,1.8,4.44
healthspan,129,86,0.059,0.087,1.5,4.44
condensates formed,72,42,0.029,0.049,1.7,4.44
signal quality,72,42,0.029,0.049,1.7,4.44
neglected tropical disease,124,82,0.056,0.084,1.5,4.44
library screening,61,34,0.023,0.041,1.8,4.44
misaligned,61,34,0.023,0.041,1.8,4.44
astrocytes microglia,88,54,0.037,0.059,1.6,4.44
empirical datasets,61,34,0.023,0.041,1.8,4.44
aging alzheimer,61,34,0.023,0.041,1.8,4.44
role microbial,72,42,0.029,0.049,1.7,4.44
diagnostically,61,34,0.023,0.041,1.8,4.44
internalizing,124,82,0.056,0.084,1.5,4.44
high-priority,61,34,0.023,0.041,1.8,4.44
biophysics,166,116,0.079,0.112,1.4,4.43
replacing,400,316,0.217,0.27,1.2,4.43
steatosis,245,182,0.125,0.165,1.3,4.43
amyotrophic,548,447,0.306,0.37,1.2,4.43
trna,511,414,0.284,0.345,1.2,4.43
covalent,400,316,0.217,0.27,1.2,4.43
finer,177,125,0.086,0.12,1.4,4.43
brain endothelial cells,76,45,0.031,0.051,1.7,4.43
often involve,80,48,0.033,0.054,1.6,4.43
ptms,232,171,0.117,0.157,1.3,4.43
cancer therapeutic,80,48,0.033,0.054,1.6,4.43
diseases like,213,155,0.106,0.144,1.4,4.43
disease clinical,101,64,0.044,0.068,1.6,4.43
viscoelasticity,110,71,0.049,0.074,1.5,4.43
lactams,80,48,0.033,0.054,1.6,4.43
post-injection,84,51,0.035,0.057,1.6,4.43
feedback mechanisms,76,45,0.031,0.051,1.7,4.43
varied substantially,84,51,0.035,0.057,1.6,4.43
video,668,555,0.38,0.451,1.2,4.42
synthase,1028,883,0.605,0.694,1.1,4.42
mesenchymal stromal,161,112,0.077,0.109,1.4,4.42
post-translational modifications,513,416,0.285,0.347,1.2,4.42
reinforcement learning,369,289,0.198,0.249,1.3,4.42
unify,106,68,0.047,0.072,1.5,4.42
characterisation,710,593,0.406,0.48,1.2,4.42
metabolic disturbances,51,27,0.019,0.034,1.9,4.42
oscillatory,761,639,0.438,0.514,1.2,4.42
arrests,97,61,0.042,0.066,1.6,4.42
apoptotic,531,432,0.296,0.359,1.2,4.42
resistance genes,689,574,0.393,0.465,1.2,4.42
sciatic,97,61,0.042,0.066,1.6,4.42
microbiome datasets,51,27,0.019,0.034,1.9,4.42
scopus,607,500,0.343,0.41,1.2,4.42
positives,442,353,0.242,0.299,1.2,4.42
dextran,145,99,0.068,0.098,1.4,4.42
reduced intracellular,51,27,0.019,0.034,1.9,4.42
abcd,189,135,0.093,0.128,1.4,4.42
usage patterns,51,27,0.019,0.034,1.9,4.42
precise mechanism,97,61,0.042,0.066,1.6,4.42
montage,51,27,0.019,0.034,1.9,4.42
prognostic biomarker,115,75,0.051,0.078,1.5,4.42
neurons where,51,27,0.019,0.034,1.9,4.42
high-elevation,51,27,0.019,0.034,1.9,4.42
paired t-tests,51,27,0.019,0.034,1.9,4.42
conducted secondary,51,27,0.019,0.034,1.9,4.42
economic evaluations,51,27,0.019,0.034,1.9,4.42
degrade,524,426,0.292,0.354,1.2,4.41
cells leading,156,108,0.074,0.105,1.4,4.41
transcriptomics datasets,93,58,0.04,0.063,1.6,4.41
time-of-day,65,37,0.025,0.044,1.7,4.41
type specific,202,146,0.1,0.136,1.4,4.41
cis-regulatory,331,256,0.175,0.224,1.3,4.41
gene therapies,93,58,0.04,0.063,1.6,4.41
infralimbic,65,37,0.025,0.044,1.7,4.41
translationally,167,117,0.08,0.113,1.4,4.41
mechanisms govern,130,87,0.06,0.088,1.5,4.41
west nile,140,95,0.065,0.095,1.5,4.41
infeasible,130,87,0.06,0.088,1.5,4.41
diagnosing,410,325,0.223,0.277,1.2,4.41
early alzheimer,65,37,0.025,0.044,1.7,4.41
intraclass,156,108,0.074,0.105,1.4,4.41
ambiguities,65,37,0.025,0.044,1.7,4.41
arksey,65,37,0.025,0.044,1.7,4.41
iron availability,58,32,0.022,0.039,1.8,4.4
heartbeat,89,55,0.038,0.06,1.6,4.4
impaired cell,111,72,0.049,0.075,1.5,4.4
chromosome segregation,347,270,0.185,0.234,1.3,4.4
amyotrophic lateral sclerosis,545,445,0.305,0.368,1.2,4.4
basecalling,58,32,0.022,0.039,1.8,4.4
biofilm formation,526,428,0.293,0.355,1.2,4.4
function remained,48,25,0.017,0.032,1.9,4.4
amyloid beta,162,113,0.077,0.109,1.4,4.4
complex non-linear,48,25,0.017,0.032,1.9,4.4
masked,317,244,0.167,0.214,1.3,4.4
oligonucleotides,288,219,0.15,0.195,1.3,4.4
interaction prediction,102,65,0.045,0.069,1.5,4.4
circuit-specific,58,32,0.022,0.039,1.8,4.4
histone mark,69,40,0.027,0.047,1.7,4.4
protein conformations,69,40,0.027,0.047,1.7,4.4
expression prediction,69,40,0.027,0.047,1.7,4.4
resistance exercise,48,25,0.017,0.032,1.9,4.4
brain ability,69,40,0.027,0.047,1.7,4.4
sufficient generate,58,32,0.022,0.039,1.8,4.4
judgment,151,104,0.071,0.102,1.4,4.4
pyrophosphate,89,55,0.038,0.06,1.6,4.4
tissue biology,48,25,0.017,0.032,1.9,4.4
driven genetic,48,25,0.017,0.032,1.9,4.4
levels remained,58,32,0.022,0.039,1.8,4.4
varied species,48,25,0.017,0.032,1.9,4.4
accumulation misfolded,48,25,0.017,0.032,1.9,4.4
targeting metabolic,48,25,0.017,0.032,1.9,4.4
growing demand,58,32,0.022,0.039,1.8,4.4
pgss,48,25,0.017,0.032,1.9,4.4
5-point,58,32,0.022,0.039,1.8,4.4
responses largely,45,23,0.016,0.03,1.9,4.39
essential mechanisms,45,23,0.016,0.03,1.9,4.39
response environmental,333,258,0.177,0.225,1.3,4.39
amyotrophic lateral,547,447,0.306,0.369,1.2,4.39
transcriptomic signatures,191,137,0.094,0.129,1.4,4.39
intestinal,1783,1584,1.085,1.204,1.1,4.39
activity whereas,73,43,0.029,0.049,1.7,4.39
ensure accurate,85,52,0.036,0.057,1.6,4.39
ranking,438,350,0.24,0.296,1.2,4.39
activation stress,73,43,0.029,0.049,1.7,4.39
contingencies,121,80,0.055,0.082,1.5,4.39
cell priming,45,23,0.016,0.03,1.9,4.39
endoscopic,116,76,0.052,0.078,1.5,4.39
transformation,1377,1206,0.826,0.93,1.1,4.39
species accumulation,45,23,0.016,0.03,1.9,4.39
immunostaining,326,252,0.173,0.22,1.3,4.39
force generation,141,96,0.066,0.095,1.4,4.39
braak,73,43,0.029,0.049,1.7,4.39
whole-transcriptome,73,43,0.029,0.049,1.7,4.39
pan-neuronal,45,23,0.016,0.03,1.9,4.39
off-the-shelf,146,100,0.069,0.099,1.4,4.39
existing clinical,73,43,0.029,0.049,1.7,4.39
interactions govern,45,23,0.016,0.03,1.9,4.39
dataset date,45,23,0.016,0.03,1.9,4.39
