term,recent_n,prior_n,share_prior_pct,share_recent_pct,growth_x,score
persist,1413,970,0.665,0.954,1.4,13.6
expertise,691,406,0.278,0.467,1.7,13.6
alphafold,574,321,0.22,0.388,1.8,13.58
auroc,546,301,0.206,0.369,1.8,13.58
antimicrobial,2385,1781,1.22,1.611,1.3,13.56
non-invasive,1907,1378,0.944,1.288,1.4,13.56
altered,6325,5258,3.603,4.272,1.2,13.55
cohorts,3336,2601,1.782,2.253,1.3,13.55
sustaining,554,307,0.21,0.374,1.8,13.55
static,1216,813,0.557,0.821,1.5,13.54
single-nucleus sequencing snrna-seq,82,18,0.012,0.055,4.5,13.54
recent advancements,254,107,0.073,0.172,2.3,13.54
perturbation prediction,42,5,0.003,0.028,8.1,13.54
accelerates,762,460,0.315,0.515,1.6,13.53
regimes,919,580,0.397,0.621,1.6,13.52
fundamentally,685,403,0.276,0.463,1.7,13.51
transcriptomic proteomic,326,152,0.104,0.22,2.1,13.51
patient-derived,1281,866,0.593,0.865,1.5,13.5
future explore,148,48,0.033,0.1,3.0,13.5
capture complex,150,49,0.034,0.101,3.0,13.5
mediator,1076,703,0.482,0.727,1.5,13.49
correlating,702,416,0.285,0.474,1.7,13.48
disorders,6580,5494,3.765,4.445,1.2,13.47
microglial,901,567,0.389,0.609,1.6,13.47
extracellular vesicles,871,544,0.373,0.588,1.6,13.47
limits,2495,1878,1.287,1.685,1.3,13.47
geometry,1164,773,0.53,0.786,1.5,13.47
closely linked,268,116,0.079,0.181,2.3,13.46
function,23244,20978,14.375,15.701,1.1,13.45
potentially,7802,6605,4.526,5.27,1.2,13.45
extracellular matrix,1922,1394,0.955,1.298,1.4,13.45
toxicity,2120,1561,1.07,1.432,1.3,13.43
inference,3025,2336,1.601,2.043,1.3,13.43
underappreciated,371,182,0.125,0.251,2.0,13.43
early detection,982,631,0.432,0.663,1.5,13.41
vascular,2809,2150,1.473,1.897,1.3,13.41
despite extensive,408,207,0.142,0.276,1.9,13.41
expand,2059,1511,1.035,1.391,1.3,13.39
hubs,562,315,0.216,0.38,1.8,13.38
low-resource settings,215,85,0.058,0.145,2.5,13.38
ipsc-derived,603,345,0.236,0.407,1.7,13.36
balancing,690,409,0.28,0.466,1.7,13.36
closely,3442,2703,1.852,2.325,1.3,13.34
efficacy,6845,5744,3.936,4.624,1.2,13.32
systematic,5752,4757,3.26,3.885,1.2,13.32
couples,565,318,0.218,0.382,1.8,13.32
varying,3637,2876,1.971,2.457,1.2,13.29
real-world clinical,193,73,0.05,0.13,2.6,13.29
shifted,843,526,0.36,0.569,1.6,13.28
esm2,52,8,0.005,0.035,6.3,13.28
pathway,10788,9360,6.414,7.287,1.1,13.26
represents therapeutic,169,60,0.041,0.114,2.8,13.26
spatial multi-omics,88,21,0.014,0.059,4.1,13.26
diversity,9017,7732,5.298,6.091,1.1,13.24
higher-order,889,562,0.385,0.601,1.6,13.24
transient,2953,2282,1.564,1.995,1.3,13.23
scarcity,555,312,0.214,0.375,1.8,13.23
open-source,1771,1275,0.874,1.196,1.4,13.22
democratizes,41,5,0.003,0.028,7.9,13.22
warranted validate,41,5,0.003,0.028,7.9,13.22
regulatory programs,208,82,0.056,0.141,2.5,13.2
auc-roc,115,33,0.023,0.078,3.4,13.2
analyzed,8780,7519,5.152,5.931,1.2,13.19
persistence,2077,1533,1.05,1.403,1.3,13.19
streamlined,494,269,0.184,0.334,1.8,13.19
traditional often,58,10,0.007,0.039,5.6,13.19
regulatory architecture,117,34,0.023,0.079,3.4,13.18
opens avenues,306,142,0.097,0.207,2.1,13.17
attenuated,1922,1403,0.961,1.298,1.4,13.17
downregulation,1640,1168,0.8,1.108,1.4,13.16
redefines,85,20,0.014,0.057,4.2,13.16
shaping microbial,85,20,0.014,0.057,4.2,13.16
plasticity,3649,2894,1.983,2.465,1.2,13.14
define,3577,2831,1.94,2.416,1.2,13.13
ecosystems,1950,1428,0.979,1.317,1.3,13.12
divergence,2060,1521,1.042,1.391,1.3,13.12
