record_id,pubmed_id,year,title,journal,themes,subthemes,is_meta,in_substantive_corpus,admin_ics,cofunding_ics,tag_evidence_summary
35,38374255,2024,Genomic data in the All of Us Research Program,Nature,1;2;3;6;17,,false,true,HD;HG;OD,EY;HD;HG;NR;OD;TR,1:type 2 diabetes|diabetic|cholesterol|LDL|diabetes|type 1 diabetes|statin; 2:PheWAS|REGENIE|GWAS|WGS|genomics|genotype|locus|genomic|genome-wide association|genome-wide|ancestry|imputation|phenome-wide|association study|admixture|common variant|haplotype|association studies|genetic ancestry|genetic association|loci|gnomAD|polygenic; 3:Public Data Browser|data harmonization|Researcher Workbench|cohort builder|electronic health record|workbench|random forest|OMOP|EHR|data quality|harmonization; 6:minorities|Latino|racial and ethnic|race and ethnicity; 17:advisory board|trust|return of results|biospecimen|informed consent|library|ethics|recruitment
36,37878135,2023,Prostate-specific antigen testing rates in high-risk populations: results from the All of Us Research Program,Cancer Causes & Control : CCC,1;3;5;6;8,,false,true,CA,CA,1:obesity|BMI; 3:Researcher Workbench|electronic health record|workbench|EHR; 5:prostate cancer|PSA testing|PSA|cancer|cancer screening; 6:disparity|socioeconomic|underrepresented|disparities|income|marginalized|race and ethnicity|Hispanic|housing; 8:COVID-19
39,,2023,The prevalence of substance use disorders in chiropractic patients in the United States: a descriptive study of two national datasets,Taylor & Francis Online: Peer-reviewed Journals,4,,false,true,,,4:substance use disorder|SUD|pain|substance use
40,38095106,2023,Prediction of Venous Thromboembolism in Diverse Populations Using Machine Learning and Structured Electronic Health Records,"Arteriosclerosis, Thrombosis, and Vascular Biology",1;3,,false,true,GM,AG;AI;AR;DC;EY;GM;HD;HL;NS,1:venous thromboembolism|thromboembolism; 3:electronic health record|risk prediction|machine learning
41,38128831,2023,Depression in patients with Raynaud's phenomenon: A case-control study in the National Institutes of Health's All of Us Research Program,Journal of the American Academy of Dermatology,4;9,,false,true,OD,OD;TR,4:depression; 9:Raynaud
42,38108577,2023,Associations between hidradenitis suppurativa and asthma and allergic rhinitis: a case-control study in the All of Us research program,International Journal of Dermatology,12;13;18,,false,true,OD,OD,12:hidradenitis suppurativa; 13:asthma; 18:allergic rhinitis|rhinitis
43,38108533,2023,Prevalence of generalized pustular psoriasis in the United States using the All of Us research database,Journal of the European Academy of Dermatology and Venereology : JEADV,9;12,,false,true,,,9:psoriasis; 12:psoriasis
45,38178151,2024,Racial differences in length of stay and readmission for asthma in the all of us research program,Journal of Translational Medicine,1;2;3;4;6;12;13;18,,false,true,HG;OD,HG;OD;TR,1:obesity|CKD|diabetes; 2:ancestry|genetic ancestry; 3:electronic health record|ICD|ICD-10|EHR; 4:depression; 6:underrepresented groups|deprivation|Latino|socioeconomic|underrepresented|disparities|Black participants|minority|Hispanic; 12:psoriasis; 13:COPD|asthma|sleep apnea; 18:allergic rhinitis|rhinitis
46,38053191,2023,Reconstruction of private genomes through reference-based genotype imputation,Genome Biology,2;3;9;13,,false,true,HG;OD,DE;HG;OD;TR,2:genomics|genotype|locus|SNP|genomic|genotype imputation|ancestry|imputation|phasing|haplotype|association studies|genetic association|gnomAD; 3:AoU Researcher Workbench|Researcher Workbench|workbench|data quality; 9:IBD; 13:asthma
48,38232143,2024,"Neighborhood Deprivation, Race, Ethnicity, and Undiagnosed Hypertension: Results From the All of Us Research Program","Hypertension %28Dallas, Tex. : 1979%29",1;6,,false,true,AG;NS,AG;NS;OD,1:hypertension; 6:deprivation|neighborhood
50,38225170,2024,"VEXAS-Defining UBA1 Somatic Variants in 245,368 Diverse Individuals in the NIH All Of Us Cohort","Arthritis & Rheumatology %28Hoboken, N.J.%29",2;6;10,,false,true,AR;OD,AG;AR;DE,2:whole genome sequencing|ancestry; 6:African American|Latino; 10:incomplete penetrance|penetrance
52,38156811,2023,Underdiagnosis of Allergic Contact Dermatitis in Under-Represented Groups: An All of Us Database Analysis,"Dermatitis : Contact, Atopic, Occupational, Drug",12,,false,true,OD,OD;TR,12:dermatitis|contact dermatitis
53,38222375,2024,Computational Phenotyping of OMOP CDM Normalized EHR for Prenatal and Postpartum Episodes: An Informatics Framework and Clinical Implementation on All of Us,AMIA ... Annual Symposium Proceedings. AMIA Symposium,3;15,,false,true,OD,OD;TR,3:OMOP|EHR; 15:gestational|pregnancy|postpartum|maternal|obstetrics
54,38200661,2023,Access to Eye Care Providers and Glaucoma Severity in the National Institutes of Health All of Us Research Program,Journal of Glaucoma,18,,false,true,OD,OD;TR,18:glaucoma|vision|eye care
