record_id,pubmed_id,year,themes,focus_areas,n_focus_areas,is_orphan_pub,title
100,35238904,2022,6;18,FA1;FA7,2,0,Racial and Ethnic Disparities in Cost-Related Barriers to Medication Adherence Among Patients With Glaucoma Enrolled in the National Institutes of Health All of Us Research Program
102,35283246,2022,12,FA1;FA7,2,0,Association of atopic dermatitis with attention-deficit hyperactivity disorder among US adults in the 'All of Us' research program: A case-control study
103,35155998,2021,1;3,FA1;FA8,2,0,Pediatric data from the All of Us research program: demonstration of pediatric obesity over time
104,35147780,2022,6;12,FA1;FA7,2,0,Prevalence of eczema among adults in the United States: a cross-sectional study in the All of Us research program
105,35109680,2022,1;6,FA1;FA7;FA8,3,0,Carotid Artery Disease Among Broadly Defined Underrepresented Groups: The All of Us Research Program
106,35058155,2022,6,FA7,1,0,Self-rated family health history knowledge among All of Us program participants
109,34985965,2022,2;5,FA1;FA8,2,0,Precision Medicine Landscape of Genomic Testing for Patients With Cancer in the National Institutes of Health All of Us Database Using Informatics Approaches
110,34977817,2021,8;12,FA1;FA7,2,0,Association between atopic dermatitis and COVID-19 infection: A case-control study in the All of Us research program
111,34941480,2021,1;3,FA1;FA8,2,0,Geographic Variation in Obesity at the State Level in the All of Us Research Program
112,34923710,2021,17,FA4;FA7,2,0,Harmonizing variant classification for return of results in the All of Us Research Program
113,35583884,2022,1,FA1;FA8,2,0,Proposing a Sex-Adjusted Sodium-Adjusted MELD Score for Liver Transplant Allocation
114,34920026,2021,12,FA1;FA7,2,0,Prevalence of lichen planus in the United States: A cross-sectional study of the All of Us research program
115,37560908,2023,2;13,FA1;FA8,2,0,"Genetic relationships between high blood eosinophil count, asthma susceptibility, and asthma severity"
118,34505903,2021,2;3;5,FA1;FA8,2,0,Characterizing phenotypic abnormalities associated with high-risk individuals developing lung cancer using electronic health records from the All of Us researcher workbench
119,35505219,2022,1;6,FA1;FA7;FA8,3,0,Revisiting the Latino Epidemiologic Paradox: an Analysis of Data from the All of Us Research Program
120,35472083,2022,3;6;17,FA4;FA7,2,0,Demographic differences in willingness to share electronic health records in the All of Us Research Program
121,34431358,2021,1;6,FA1;FA7;FA8,3,0,Cardiovascular Health Disparities in Racial and Other Underrepresented Groups: Initial Results From the All of Us Research Program
122,36974749,2023,1;2;13,FA1;FA8,2,0,Single Nucleotide Polymorphism rs9277336 Controls the Nuclear Alpha Actinin 4-Human Leukocyte Antigen-DPA1 Axis and Pulmonary Endothelial Pathophenotypes in Pulmonary Arterial Hypertension
123,35704625,2022,1;6;18,FA1;FA7;FA8,3,0,Associations between healthcare utilization and access and diabetic retinopathy complications using All of Us nationwide survey data
124,34363612,2021,12,FA1;FA7,2,0,Prevalence of granuloma annulare in the United States: a cross-sectional study in the All of Us Research Program
125,34358277,2021,1;6,FA1;FA7;FA8,3,0,"Racial, ethnic, and gender differences in obesity and body fat distribution: An All of Us Research Program demonstration project"
126,34333076,2021,12,FA1;FA7,2,0,Comorbidities associated with granuloma annulare: A case-control study in the All of Us research program
127,35721456,2021,1;4;6;18,FA1;FA5;FA7;FA8,4,0,Novel Association between Opioid Use and Increased Risk of Retinal Vein Occlusion Using the National Institutes of Health All of Us Research Program
