record_id,pubmed_id,year,title,themes,ic_admin_original,ic_admin_reattributed,cofunding_ics_original,fractional_attribution
535,39549270,2024,Evaluating Performance and Agreement of Coronary Heart Disease Polygenic Risk Scores,1;2,DK;HL;OD;TR;VA,DK;HL;OD;TR;VA,DK;HL;OD;TR,NHGRI(0.500);NHLBI(0.350);NIDDK(0.150)
536,39547326,2024,Nonsteroidal immune-modulating therapies and reduced risk of adverse cardiovascular events in dermatomyositis and polymyositis: A cohort study in the All of Us research program,1;9,,,,NHLBI(0.350);NIAID(0.250);NIAMS(0.250);NIDDK(0.150)
537,39585167,2024,Discovering Severe Adverse Reactions From Pharmacokinetic Drug-Drug Interactions Through Literature Analysis and Electronic Health Record Verification,1;3;4;16,LM,LM,LM,NLM(0.250);NHLBI(0.200);NIMH(0.175);NIGMS(0.150);NIDDK(0.075);NIDA(0.050);NHGRI(0.050);NIAAA(0.025);NCI(0.025)
538,39607789,2024,Functional analysis of G6PD variants associated with low G6PD activity in the All of Us Research Program,10,GM;OD,GM;OD,GM;OD;TR,NCATS(0.500);NHGRI(0.500)
539,39411236,2024,Demographics and lifestyle factors of patients with hidradenitis suppurativa: An All of Us database analysis,12,,,,NIAMS(0.700);NCI(0.300)
540,39617681,2024,Exploring prostate-specific antigen (PSA) Testing rates and screening disparities in the all of us dataset,5;6,CA,CA,CA;OD,NCI(0.500);NIMHD(0.500)
541,39577476,2024,"A collaborative effort between dermatologists, obstetrician-gynecologists, urologists, and family medicine physicians to rethink routine genitourinary examinations: The overlooked importance of screening for genital squamous cell carcinoma in situ",5;12,,,,NCI(0.650);NIAMS(0.350)
545,39482947,2024,Disparities in Treatment for Alcohol Use Disorder Among All of Us Participants,4;6,AA,AA,AA,NIMHD(0.500);NIMH(0.350);NIDA(0.100);NIAAA(0.050)
549,39441603,2024,Utility of a Systolic Blood Pressure Polygenic Risk Score With Chlorthalidone Response,1;2;16,HL;NS,HL;NS,AG;HL;NS,NHGRI(0.400);NHLBI(0.267);NIGMS(0.200);NIDDK(0.100);NCI(0.033)
550,38284183,2024,"An analysis of demographics, lifestyle factors and comorbidities of pemphigus in underrepresented groups: A cross-sectional study of the All of Us database",6;12,,,,NIMHD(0.500);NIAMS(0.350);NCI(0.150)
552,40176990,2024,Nail Clubbing: A Dermatologic Window into Underlying Systemic Disease - an All of Us Study,3;8;12,,,,NLM(0.333);NIAID(0.333);NIAMS(0.233);NCI(0.100)
553,39326396,2024,Rosacea and Gastrointestinal Diseases: A Case-Control Study in the All of Us Database,9;12,,,,NIAMS(0.600);NIAID(0.250);NCI(0.150)
558,39652924,2024,Increased Serum Vitamin D and Decreased Serum Cholesterol Are Associated with Development of Squamous Cell Carcinoma in Actinic Keratosis Patients: A Retrospective Machine-Learning Analysis of the All of Us Database,1;5;12,,,,NCI(0.433);NHLBI(0.233);NIAMS(0.233);NIDDK(0.100)
559,38399414,2024,Glucagon-like Peptide-1 Receptor Agonists Associated Gastrointestinal Adverse Events: A Cross-Sectional Analysis of the National Institutes of Health All of Us Cohort,1,,,,NHLBI(0.700);NIDDK(0.300)
560,39503954,2024,"Gender, race, and economic factors influencing screening practices in hidradenitis suppurativa: a cross-sectional analysis",3;6;12,,,,NLM(0.333);NIMHD(0.333);NIAMS(0.233);NCI(0.100)
561,39392397,2024,"A case-control study of bacterial, fungal, and viral skin infections in 9,143 adults with hyperhidrosis",12,OD,NIAMS(0.70);NCI(0.30),OD;TR,NIAMS(0.700);NCI(0.300)
562,39545358,2024,Research for all: building a diverse researcher community for the All of Us Research Program,3;6,OD,NLM(0.50);NIMHD(0.50),OD;TR,NLM(0.500);NIMHD(0.500)
563,39536018,2024,"Association between fine particulate matter and eczema: A cross-sectional study of the All of Us Research Program and the Center for Air, Climate, and Energy Solutions",12;19,,,,NIEHS(0.500);NIAMS(0.350);NCI(0.150)
564,39511894,2024,Exploring the link between celiac disease and obesity: a potential role of gut microbiome,1;9,OD,NHLBI(0.35);NIAID(0.25);NIAMS(0.25);NIDDK(0.15),OD;TR,NHLBI(0.350);NIAID(0.250);NIAMS(0.250);NIDDK(0.150)
565,39526879,2024,Alcohol and Cannabis Use Associated with Cardiometabolic Biomarkers among 'All of Us' Cancer Survivors,1;4;5;6,,,,NCI(0.250);NIMHD(0.250);NHLBI(0.175);NIMH(0.175);NIDDK(0.075);NIDA(0.050);NIAAA(0.025)
566,39520911,2024,Genomic insights for personalised care in lung cancer and smoking cessation: motivating at-risk individuals toward evidence-based health practices,2;4;5,CA;DA,CA;DA,CA;DA;OD,NHGRI(0.333);NCI(0.333);NIMH(0.233);NIDA(0.067);NIAAA(0.033)
567,39569403,2024,Comorbidities and determinants of health on heart failure guideline-directed medical therapy adherence: All of us,1;6,,,,NIMHD(0.500);NHLBI(0.350);NIDDK(0.150)
569,39546165,2024,The genetic landscape of Lynch syndrome in the Israeli population,5,,,,NCI(1.000)
574,39576824,2024,Correlates of six-month housing instability among U.S. adults by veteran status: Exploratory study using data from the All of Us Program,4;6,,,,NIMHD(0.500);NIMH(0.350);NIDA(0.100);NIAAA(0.050)
575,39573984,2024,The association of hidradenitis suppurativa with cigarette smoking and cannabis use: a cross-sectional study in the All of Us Research Program,4;12,AI;AR,AI;AR,AI;AR,NIMH(0.350);NIAMS(0.350);NCI(0.150);NIDA(0.100);NIAAA(0.050)
581,39576343,2024,Exploring health and social self-perceptions in U.S. adults with alopecia areata,12,,,,NIAMS(0.700);NCI(0.300)
582,39627863,2024,Using multiplexed functional data to reduce variant classification inequities in underrepresented populations,2;5;6,HG,HG,HG,NHGRI(0.333);NCI(0.333);NIMHD(0.333)
584,39712367,2024,Racial and ethnic disparities in the burden of non-obese type 2 diabetes using different anthropometric measurements,1;6,,,,NIMHD(0.500);NHLBI(0.350);NIDDK(0.150)
585,39657748,2024,Informatics innovation to provide return of value to participant communities in the All of Us Research Program,3,OD,NLM(1.00),EY;HG;NR;OD,NLM(1.000)
586,39658142,2025,Social determinants of health as risk factors for keratoconus in the All of Us database,6;18,,,,NIMHD(0.500);NEI(0.500)
587,39658010,2024,Analysis of Physical Activity Using Wearable Health Technology in US Adults Enrolled in the All of Us Research Program: Multiyear Observational Study,6;7,,,,NIMHD(0.500);NIBIB(0.250);NHLBI(0.100);NIDDK(0.075);NIMH(0.075)
588,39657951,2024,PheWAS analysis on large-scale biobank data with PheTK,2;3,HG,HG,OD,NHGRI(0.500);NLM(0.500)
589,39661558,2024,The Association of Social Determinants of Health With Reported Daily Pain Scores Among Patients With a History of Chronic Pain Using the 'All of Us' Research Program,4;6,DA;LM,DA;LM,DA;ES;LM,NIMHD(0.500);NIMH(0.350);NIDA(0.100);NIAAA(0.050)
590,39660572,2024,The association of Hidradenitis Suppurativa with comorbidities in underrepresented patient populations: An All of Us database analysis,6;12,,,,NIMHD(0.500);NIAMS(0.350);NCI(0.150)
591,39670849,2024,Association Between Alcohol Use and Primary Open Angle Glaucoma,18,,,,NEI(1.000)
592,39657738,2024,Fast analysis of biobank-size data and meta-analysis using the BGLR R-package,2,HG,HG,HG,NHGRI(1.000)
594,39715077,2024,Associations Between Social Determinants of Health and Opioid-Use Disorder Among Chronic Pain Patients From a Multi-Institutional Dataset,4;6,DA;LM,DA;LM,DA;ES;LM,NIMHD(0.500);NIMH(0.350);NIDA(0.100);NIAAA(0.050)
595,39697788,2024,"Comparing two large data repositories to understand the differences in demographics, health history, and behavioral attributes in populations",6,,,,NIMHD(1.000)
596,39693078,2024,Expanding the All of Us Research Platform Into the Perioperative Domain,,DK;OD,DK;OD,DK;OD;TR,NIDDK(1.000)
597,39670378,2024,Social Determinants of Health and Lifestyle Risk Factors Modulate Genetic Susceptibility for Women's Health Outcomes,1;2;5;6;15,HD,HD,HD,NHGRI(0.200);NCI(0.200);NIMHD(0.200);NICHD(0.200);NHLBI(0.140);NIDDK(0.060)
601,39572784,2024,Genome-wide association study reveals mechanisms underlying dilated cardiomyopathy and myocardial resilience,1;2;10,HL;VA,HL;VA,HL,NHGRI(0.500);NHLBI(0.233);NCATS(0.167);NIDDK(0.100)
605,39630677,2024,Metformin Use and Risk of Non-Melanoma Skin Cancer: A Propensity-Matched Case-Control Study,5;12;16,,,,NCI(0.467);NIAMS(0.233);NIGMS(0.200);NHGRI(0.067);NHLBI(0.033)
606,39755829,2025,Data from the All of Us research program reinforces existence of activity inequality,7;19,,,,NIEHS(0.500);NIBIB(0.250);NHLBI(0.100);NIDDK(0.075);NIMH(0.075)
608,39742657,2024,Using Machine Learning to Predict Weight Gain in Adults: an Observational Analysis From the All of Us Research Program,3;4;15,DK,DK,DK,NLM(0.333);NICHD(0.333);NIMH(0.233);NIDA(0.067);NIAAA(0.033)
610,39584661,2024,Early COVID-19 Vaccine Initiation and Completion Among Cancer Survivors and Barriers to Vaccine Completion: Implications for Future COVID-19 Vaccination Uptake Rates,5;6;8,OD,NCI(0.33);NIMHD(0.33);NIAID(0.33),OD;TR,NCI(0.333);NIMHD(0.333);NIAID(0.333)
614,39596129,2024,Genomic and Bioinformatics Analysis of Familial Partial Lipodystrophy Type 3 Identified in a Patient with Novel PPARγ Mutation and Robust Response to Pioglitazone,2,,,,NHGRI(1.000)
621,39701068,2024,The Relationship Between Blepharoptosis and Psychosocial Health in the All of Us Research Program,4,,,,NIMH(0.700);NIDA(0.200);NIAAA(0.100)
622,39746513,2024,Biological sex differences in rhinitis prevalence among adults in the United States: An 'All of Us' Research Program database analysis,18,AR,AR,AA;AR;OD,NEI(1.000)
624,39758847,2024,"Association of Statin, Metformin, and Aspirin Use With Hepatocellular Carcinoma in the All of Us Research Program",1;5;16,,,,NCI(0.367);NHLBI(0.267);NIGMS(0.200);NIDDK(0.100);NHGRI(0.067)
625,39788943,2025,Impact of population screening for Lynch syndrome insights from the All of Us data,5,CA;DK;OD,CA;DK;OD,AT;CA;DK;OD;TR,NCI(1.000)
626,39788837,2025,"A socioecological model of neighborhood disorder, religious attendance, and sleep efficiency",6,,,,NIMHD(1.000)
627,39791526,2025,Epidemiology of discoid lupus erythematosus among adults in the United States: a cross-sectional analysis,9;12,OD,NIAMS(0.60);NIAID(0.25);NCI(0.15),OD;TR,NIAMS(0.600);NIAID(0.250);NCI(0.150)
628,39786404,2024,Alcohol Use Disorder Polygenic Score Compared With Family History and ADH1B,2;3;4,AA,AA,AA;AG;DA;MH,NHGRI(0.333);NLM(0.333);NIMH(0.233);NIDA(0.067);NIAAA(0.033)
629,39628897,2024,Factors associated with unfavorable outcomes in older patients with traumatic brain injury: analysis from the 'All of Us' research program,11;14,AG;NS,AG;NS,AG;NS,NINDS(0.600);NIA(0.400)
630,39627187,2024,"A phenome-wide association study of tandem repeat variation in 168,554 individuals from the UK Biobank",1;2,AG;DA;HD;HG;HL;MH;NS;OD;TR,AG;DA;HD;HG;HL;MH;NS;OD;TR,AG;DA;HD;HG;HL;MH;NS;OD;TR,NHGRI(0.500);NHLBI(0.350);NIDDK(0.150)
632,38264803,2024,"The State of National Institute of Health Awards for funding genetic counseling research, resources, and training over the past decade",17,,,,NIH-Wide(0.700);NHGRI(0.300)
633,39669589,2024,Tracking updates in clinical databases increases efficiency for variant reanalysis,2,,,,NHGRI(1.000)
635,39756691,2025,High-Density Lipoproteins Associated with Age-Related Macular Degeneration in the All of Us Research Program,1;18,EY;HL;LM;OD,EY;HL;LM;OD,DE;ES;EY;HL;LM;OD;TR,NEI(0.500);NHLBI(0.350);NIDDK(0.150)
636,39799398,2025,Intersection of rare pathogenic variants from TCGA in the All of Us Research Program v6,2;6,CA,CA,CA,NHGRI(0.500);NIMHD(0.500)
646,39794311,2025,Medical history predicts phenome-wide disease onset and enables the rapid response to emerging health threats,2;6;8,,,,NHGRI(0.333);NIMHD(0.333);NIAID(0.333)
648,39745895,2025,"An intersectional analysis of behavioral financial hardship and healthcare utilization among lesbian, gay, bisexual, transgender, queer, plus cancer survivors",5;6,CA;HS,CA;HS,CA;HS,NCI(0.500);NIMHD(0.500)
649,39804394,2025,Quantification of reduced renal function in patients with autoimmune bullous diseases: a matched case-control electronic health record analysis of the all of us database,1;3;9,,,,NLM(0.333);NHLBI(0.233);NIAID(0.167);NIAMS(0.167);NIDDK(0.100)
651,39842729,2025,Genome-Wide and Rare Variant Association Studies of Amblyopia in the All of Us Research Program,2,EY,EY,EY,NHGRI(1.000)
652,39842728,2025,Barriers to Health Care Access and Use among Racial and Ethnic Minorities with Noninfectious Uveitis,6;18,,,,NIMHD(0.500);NEI(0.500)
653,39853748,2025,Association of Menopause and Rhinitis Among Adult Women in the United States: Findings from the All of Us Research Program,15;18,AR,AR,AA;AR;OD,NICHD(0.500);NEI(0.500)
654,39825822,2025,Characterization of the phenotypic consequences of the Duffy-null genotype,2;6,HG,HG,HG,NHGRI(0.500);NIMHD(0.500)
655,39868617,2025,Hearing Loss and Discrimination: Evidence of Intersectionality in the All of Us Research Program,3;4;6;11;18,OD,NLM(0.20);NIMHD(0.20);NEI(0.20);NIA(0.16);NIMH(0.14);NIDA(0.04);NINDS(0.04);NIAAA(0.02),OD;TR,NLM(0.200);NIMHD(0.200);NEI(0.200);NIA(0.160);NIMH(0.140);NIDA(0.040);NINDS(0.040);NIAAA(0.020)
656,39865752,2025,Prevalence of female hirsutism and PCOS in the United States: A cross-sectional study,6;15,,,,NIMHD(0.500);NICHD(0.500)
657,39883593,2025,Racial/Ethnic Disparities in Perception of Health Literacy and Barriers to Care Among Cervical Stenosis Patients,3;6,,,,NLM(0.500);NIMHD(0.500)
658,39874495,2025,Coding Variants of the Genitourinary Development Gene WNT9B Carry High Risk for Prostate Cancer,2;5;10,CA;OD;VA,CA;OD;VA,CA;MD;OD;RR;TR,NHGRI(0.500);NCI(0.333);NCATS(0.167)
660,39813673,2025,"Building a Digital Health Research Platform to Enable Recruitment, Enrollment, Data Collection, and Follow-Up for a Highly Diverse Longitudinal US Cohort of 1 Million People in the All of Us Research Program: Design and Implementation Study",3;6;17,,,,NLM(0.333);NIMHD(0.333);NIH-Wide(0.233);NHGRI(0.100)
661,39810438,2025,Associations between social determinants of health and mental health disorders among U.S. population: a cross-sectional study,4;6,,,,NIMHD(0.500);NIMH(0.350);NIDA(0.100);NIAAA(0.050)
662,39969595,2025,The potential impact of ACOG guideline changes on genital melanoma detection rates in females: a retrospective cross-sectional analysis and implications for clinical practice,3;5,,,,NLM(0.500);NCI(0.500)
663,39968724,2025,Structural Inequities in Brain Trauma Outcome Prevalences Reported in the All of Us Database,6;14,,,,NIMHD(0.500);NINDS(0.500)
667,39808608,2025,Epidemiological trends and healthcare disparities in onychomycosis: An analysis of the All of Us research program,6;12,,,,NIMHD(0.500);NIAMS(0.350);NCI(0.150)
668,38621331,2024,The sex-dependent impact of adipose tissue and inflammation on chronic pain - A cross-sectional study from the all of us research program,4,,,,NIMH(0.700);NIDA(0.200);NIAAA(0.100)
669,38606002,2023,Autoimmune comorbidities associated with sarcoidosis: a case-control study in the All of Us research program,9,,,,NIAID(0.500);NIAMS(0.500)
670,38536175,2024,Physical Activity and Incident Obesity Across the Spectrum of Genetic Risk for Obesity,1;2;7,FD;HL;OD,FD;HL;OD,FD;HL;OD;TR,NHGRI(0.333);NHLBI(0.300);NIBIB(0.167);NIDDK(0.150);NIMH(0.050)
671,38669290,2024,Correlation-based tests for the formal comparison of polygenic scores in multiple populations,2,GM;HL,GM;HL,AI;GM;HL;NS,NHGRI(1.000)
672,38662231,2024,Investigating the link between rosacea and neurological diseases: an all of us case-control study,12;14,,,,NINDS(0.500);NIAMS(0.350);NCI(0.150)
673,38703376,2024,"Autoimmune, cardiovascular/metabolic and psychiatric comorbidities associated with rosacea: a cross-sectional study in the All of Us database",1;4;9;12,,,,NIAMS(0.300);NHLBI(0.175);NIMH(0.175);NIAID(0.125);NIDDK(0.075);NCI(0.075);NIDA(0.050);NIAAA(0.025)
674,38715437,2024,The prevalence of major depressive disorder in people with HIV: Results from the All of Us Research Program,3;4;6;8,OD,NLM(0.25);NIMHD(0.25);NIAID(0.25);NIMH(0.17);NIDA(0.05);NIAAA(0.03),OD,NLM(0.250);NIMHD(0.250);NIAID(0.250);NIMH(0.175);NIDA(0.050);NIAAA(0.025)
675,38587197,2024,Discovery of a polymorphic gene fusion via bottom-up chimeric RNA prediction,,GM;OD,GM;OD,GM;OD;TR,NIGMS(1.000)
676,38599938,2024,"Delays in Care by Race, Ethnicity, and Gender Before and During the COVID-19 Pandemic Using Cross-Sectional Data From the National Institutes of Health's All of Us Research Program",6;8,CA;OD,CA;OD,CA;OD;TR,NIMHD(0.500);NIAID(0.500)
677,38432429,2024,Access to Care and Health Care Utilization Among Patients With Nephrolithiasis,1;6;17,,,,NIMHD(0.333);NHLBI(0.233);NIH-Wide(0.233);NIDDK(0.100);NHGRI(0.100)
678,38714212,2024,Predicting Postoperative Pain and Opioid Use with Machine Learning Applied to Longitudinal Electronic Health Record and Wearable Data,3;4;7,HG;OD,HG;OD,HG;OD;TR,NLM(0.333);NIMH(0.283);NIBIB(0.167);NIDA(0.067);NHLBI(0.067);NIDDK(0.050);NIAAA(0.033)
679,38733114,2024,A model for supporting biomedical and public health researcher use of publicly available All of Us data at Historically Black Colleges and Universities,6,OD,NIMHD(1.00),ES;HG;OD,NIMHD(1.000)
680,38734810,2024,Examining the association of non-melanoma skin cancer with immunomodulatory conditions: a cross-sectional analysis of the All of Us database,5;12,,,,NCI(0.650);NIAMS(0.350)
681,35704313,2022,Depression and Anxiety in Patients With Lichen Sclerosus,4;12,DK;HL;TR,DK;HL;TR,DK;HL;OD;TR,NIMH(0.350);NIAMS(0.350);NCI(0.150);NIDA(0.100);NIAAA(0.050)
682,35817334,2022,Comorbidities associated with mycosis fungoides: A case-control study in the All of Us database,12,,,,NIAMS(0.700);NCI(0.300)
683,35620324,2022,Prevalence of pityriasis rosea in the United States: A cross-sectional study using the All of Us database,12,,,,NIAMS(0.700);NCI(0.300)
684,35662661,2022,Psychiatric comorbidities associated with granuloma annulare: A case-control study in the All of Us database,4;12,,,,NIMH(0.350);NIAMS(0.350);NCI(0.150);NIDA(0.100);NIAAA(0.050)
685,36103173,2022,Characterizing and Coding Psychiatric Diagnoses Using Electronic Health Record Data-Reply,3;4,,,,NLM(0.500);NIMH(0.350);NIDA(0.100);NIAAA(0.050)
686,37253541,2023,Discordant calls across genotype discovery approaches elucidate variants with systematic errors,2,HG;MH;OD,HG;MH;OD,HG;MH;OD;TR,NHGRI(1.000)
687,37301740,2023,Systematic design and data-driven evaluation of social determinants of health ontology (SDoHO),6,AG;AI;HG;LM,AG;AI;HG;LM,AG;AI;HG;LM;OD,NIMHD(1.000)
690,38598551,2024,Benchmarking multi-ancestry prostate cancer polygenic risk scores in a real-world cohort,2;5,CA,CA,CA,NHGRI(0.500);NCI(0.500)
691,38589773,2024,Association of lichen planus with asthma and allergic rhinitis in the All of Us Research Program: a cross-sectional study,12;13;18,AR;OD;TR,AR;OD;TR,AR;EY;HG;NR;OD;TR,NHLBI(0.333);NEI(0.333);NIAMS(0.233);NCI(0.100)
692,38588912,2024,Pemphigoid and atopy: A case-control study in the All of Us database,,,,,
693,38583580,2024,Discovering clinical drug-drug interactions with known pharmacokinetics mechanisms using spontaneous reporting systems and electronic health records,3,LM,LM,LM,NLM(1.000)
694,36941441,2023,Causal effects on complex traits are similar for common variants across segments of different continental ancestries within admixed individuals,2,CA;GM;HG;HL;MH;OD,CA;GM;HG;HL;MH;OD,CA;ES;GM;HG;HL;MH;OD;TR,NHGRI(1.000)
695,36921806,2023,Epidemiology of alopecia areata in the Hispanic/Latinx community: A cross-sectional analysis of the All of Us database,6;12,,,,NIMHD(0.500);NIAMS(0.350);NCI(0.150)
696,37495709,2023,Association of atopic dermatitis with schizophrenia and schizoaffective disorder,4;12,,,,NIMH(0.350);NIAMS(0.350);NCI(0.150);NIDA(0.100);NIAAA(0.050)
697,37396811,2023,"Antibiotic prescribing by age, sex, race, and ethnicity for patients admitted to the hospital with community-acquired bacterial pneumonia (CABP) in the All of Us database",6,TR,TR,TR,NIMHD(1.000)
700,38788889,2024,Identifying erroneous height and weight values from adult electronic health records in the All of Us research program,3,CA;LM;MD;OD,CA;LM;MD;OD,AI;CA;DE;LM;OD,NLM(1.000)
702,38893680,2024,Machine Learning Approach with Harmonized Multinational Datasets for Enhanced Prediction of Hypothyroidism in Patients with Type 2 Diabetes,1;3,,,,NLM(0.500);NHLBI(0.350);NIDDK(0.150)
708,38960729,2024,Fair prediction of 2-year stroke risk in patients with atrial fibrillation,1;3;6;14,OD,NLM(0.25);NIMHD(0.25);NINDS(0.25);NHLBI(0.17);NIDDK(0.07),OD;TR,NLM(0.250);NIMHD(0.250);NINDS(0.250);NHLBI(0.175);NIDDK(0.075)
709,38959998,2024,Social Factors Associated with the Risk of Glaucoma Suspect Conversion to Glaucoma: Analysis of the Nationwide All of Us Program,6;18,EY;LM;MD;OD;TR,EY;LM;MD;OD;TR,DE;ES;EY;LM;MD;OD;TR,NIMHD(0.500);NEI(0.500)
710,38955839,2024,Hidradenitis suppurativa and psychosocial well-being: a cross-sectional survey analysis from the All of Us research program,4;6;12,HD,HD,AI;OD,NIMHD(0.333);NIMH(0.233);NIAMS(0.233);NCI(0.100);NIDA(0.067);NIAAA(0.033)
711,38951922,2024,Benchmarking computational variant effect predictors by their ability to infer human traits,3,GM;HG;HL;OD,GM;HG;HL;OD,GM;HD;HG;HL;OD;TR,NLM(1.000)
712,38951294,2024,"Increased risk of allergic contact dermatitis in patients with cutaneous lichen planus and lichen planopilaris, but not cutaneous lupus erythematosus: An all of us database analysis",9;12,,,,NIAMS(0.600);NIAID(0.250);NCI(0.150)
715,38940474,2024,Investigating the Protective Role of the Mitochondrial 2158 T > C Variant in Parkinson's Disease,11,,,,NIA(0.800);NINDS(0.200)
716,,2024,Mental health services utilization by rurality: Evidence from the National Institutes of Health All of Us Research Program,4,,,,NIMH(0.700);NIDA(0.200);NIAAA(0.100)
717,39659651,2024,"Alopecia Areata Is Associated with Posttraumatic Stress Disorder and Alcohol Use in a Case-Control Study of 4,785 Patients",4;12,,,,NIMH(0.350);NIAMS(0.350);NCI(0.150);NIDA(0.100);NIAAA(0.050)
718,38986176,2024,Elucidating the influences of social determinants of health on perceived overall health among African American/Black and Hispanic ovarian cancer survivors using the NIH All of Us Research Program,4;5;6,GM,GM,AG;GM,NCI(0.333);NIMHD(0.333);NIMH(0.233);NIDA(0.067);NIAAA(0.033)
719,39030265,2024,Sleep patterns and risk of chronic disease as measured by long-term monitoring with commercial wearable devices in the All of Us Research Program,1;7,FD;HL;OD,FD;HL;OD,FD;HL;OD;TR,NHLBI(0.450);NIBIB(0.250);NIDDK(0.225);NIMH(0.075)
720,39026566,2024,Weighting the United States All of Us Research Program data to known population estimates using raking,6,,,,NIMHD(1.000)
721,39013656,2024,"Comparing COVID-19 vaccination coverage, adverse reactions and impact of social determinants of health on vaccine hesitancy in ADRD/MCI and non-ADRD/MCI population: protocol for a retrospective cross-sectional study",3;6;8;11,,,,NLM(0.250);NIMHD(0.250);NIAID(0.250);NIA(0.200);NINDS(0.050)
722,39003521,2024,Model-based estimation of individual-level social determinants of health and its applications in All of Us,1;6,AG;LM;OD;TR,AG;LM;OD;TR,AG;LM;OD;TR,NIMHD(0.500);NHLBI(0.350);NIDDK(0.150)
724,39021232,2024,Atopic Dermatitis Prescription Patterns in Underrepresented Groups: An All of Us Database Analysis,6;12,,,,NIMHD(0.500);NIAMS(0.350);NCI(0.150)
729,38781589,2024,Prevalence of Weight Stigma in Medical Settings Among Reproductive-Aged Women in the All of Us Study,1;6;15,OD,NIMHD(0.33);NICHD(0.33);NHLBI(0.23);NIDDK(0.10),OD;TR,NIMHD(0.333);NICHD(0.333);NHLBI(0.233);NIDDK(0.100)
730,38967855,2024,Top 20 dermatologic conditions affecting adult patients of color in the United States: insights from an All of Us Database analysis,12,,,,NIAMS(0.700);NCI(0.300)
731,38957840,2024,Psoriasis is associated with increased risk of other autoimmune diseases: A retrospective case-control study using the All of Us research database,9;12,,,,NIAMS(0.600);NIAID(0.250);NCI(0.150)
732,38981117,2024,Research to classrooms: a co-designed curriculum brings All of Us data to secondary schools,3;17,OD,NLM(0.50);NIH-Wide(0.35);NHGRI(0.15),OD,NLM(0.500);NIH-Wide(0.350);NHGRI(0.150)
733,38981110,2024,Use of calibration to improve the precision of estimates obtained from All of Us data,6,OD,NIMHD(1.00),OD;TR,NIMHD(1.000)
734,38968223,2024,Phenome-wide association study identifies new clinical phenotypes associated with Staphylococcus aureus infections,2,,,,NHGRI(1.000)
735,38773065,2024,Deep learning of left atrial structure and function provides link to atrial fibrillation risk,1;2;3;14,HL;OD,HL;OD,HL;OD;TR,NHGRI(0.250);NLM(0.250);NINDS(0.250);NHLBI(0.175);NIDDK(0.075)
736,39043412,2024,Pregnancy episodes in All of Us: harnessing multi-source data for pregnancy-related research,3;15,OD,NLM(0.50);NICHD(0.50),OD;TR,NLM(0.500);NICHD(0.500)
738,39058572,2024,Multi-modality risk prediction of cardiovascular diseases for breast cancer cohort in the All of Us Research Program,1;2;3;5;6,AT;MD,AT;MD,AG;AT;MD;OD,NHGRI(0.200);NLM(0.200);NCI(0.200);NIMHD(0.200);NHLBI(0.140);NIDDK(0.060)
739,,2024,ICD Codes are Insufficient to Create Datasets for  Machine Learning: An Evaluation Using All of Us  Data for Coccidioidomycosis and Myocardial  Infarction,3,,,,NLM(1.000)
741,36706849,2023,Evaluating and mitigating bias in machine learning models for cardiovascular disease prediction,1;3,GM;HL;LM;TR,GM;HL;LM;TR,AI;ES;GM;HG;HL;LM;MD;NS;OD;TR,NLM(0.500);NHLBI(0.350);NIDDK(0.150)
742,39058629,2024,An evaluation of the All of Us Research Program database to examine cumulative stress,4,ES;MD;OD,ES;MD;OD,ES;MD;OD,NIMH(0.700);NIDA(0.200);NIAAA(0.100)
743,39085582,2024,Racial Disparities in Cost and Non-Cost Barriers to Care: An Analysis of the All of Us Survey,6,,,,NIMHD(1.000)
744,39078278,2024,Assessing how frailty and healthcare delays mediate the association between sexual and gender minority status and healthcare utilization in the All of Us Research Program,3;6;8;11,AG;OD,AG;OD,AG;OD,NLM(0.250);NIMHD(0.250);NIAID(0.250);NIA(0.200);NINDS(0.050)
745,39081307,2024,Sweet syndrome associated with moderate leukocyte adhesion deficiency type I: a case report and review of the literature,12,,,,NIAMS(0.700);NCI(0.300)
748,38976304,2024,Association of Social Determinants of Health With the Likelihood of Treatment With Laser Trabeculoplasty in a US Database,1;6;18,,,,NIMHD(0.333);NEI(0.333);NHLBI(0.233);NIDDK(0.100)
749,39038968,2024,Health Care Discrimination and Care Avoidance Due to Patient-Clinician Identity Discordance Among Sexual and Gender Minority Adults,6,,,,NIMHD(1.000)
750,39056443,2024,Optimizing pain management in breast cancer care: Utilizing 'All of Us' data and deep learning to identify patients at elevated risk for chronic pain,3;4;5,,,,NLM(0.333);NCI(0.333);NIMH(0.233);NIDA(0.067);NIAAA(0.033)
751,39133059,2024,Assessment of Missing Data on Glaucoma Severity Among Participants in the NIH All of Us Research Program of the United States,3;6;18,EY;LM;MD;OD;TR,EY;LM;MD;OD;TR,DE;ES;EY;LM;MD;OD;TR,NLM(0.333);NIMHD(0.333);NEI(0.333)
752,39178364,2024,Application of a Data Quality Framework to Ductal Carcinoma In Situ Using Electronic Health Record Data From the All of Us Research Program,3;5,,,,NLM(0.500);NCI(0.500)
753,39196186,2024,High-proportion spliced-in titin truncating variants in African and European ancestry in the All of Us Research Program,1;2,HL;OD,HL;OD,HL;OD;TR,NHGRI(0.500);NHLBI(0.350);NIDDK(0.150)
