pubmed_id,year,title,journal,themes,subthemes,publication_types
34045744,2021,Bi-ancestral depression GWAS in the Million Veteran Program and meta-analysis in >1.2 million individuals highlight new therapeutic directions.,Nature neuroscience,2;4,,"Journal Article;Meta-Analysis;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
34024555,2021,Dietary yogurt is distinct from other dairy foods in its association with circulating lipid profile: Findings from the Million Veteran Program.,Clinical nutrition ESPEN,1,,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S."
33984066,2021,Phenome-wide association of 1809 phenotypes and COVID-19 disease progression in the Veterans Health Administration Million Veteran Program.,PloS one,1;2;3;8,,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S."
33972514,2021,Genetic analysis in European ancestry individuals identifies 517 loci associated with liver enzymes.,Nature communications,1;2;14,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
33921792,2021,The Structure of Relationships between the Human Exposome and Cardiometabolic Health: The Million Veteran Program.,Nutrients,1,,Journal Article
33837377,2021,Actionable druggable genome-wide Mendelian randomization identifies repurposing opportunities for COVID-19.,Nature medicine,2;8;10,,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, P.H.S."
33801200,2021,Racial and Ethnic Disparities in U.S. Veteran Health Characteristics.,International journal of environmental research and public health,4;6,,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S."
33745578,2021,Consumption of potatoes and incidence rate of coronary artery disease: The Million Veteran Program.,Clinical nutrition ESPEN,1,,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S."
33534346,2021,Associations of biogeographic ancestry with hypertension traits.,Journal of hypertension,1;2;6,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S."
33510476,2021,Genome-wide association analyses of post-traumatic stress disorder and its symptom subdomains in the Million Veteran Program.,Nature genetics,2;4,,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S."
33464320,2021,Genetics of Smoking and Risk of Atherosclerotic Cardiovascular Diseases: A Mendelian Randomization Study.,JAMA network open,1;2;4;10;14,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
33276944,2021,Attachment Style Moderates Polygenic Risk for Posttraumatic Stress in United States Military Veterans: Results From the National Health and Resilience in Veterans Study.,Biological psychiatry,2;4,,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S."
33082346,2020,"Genome-wide association study of smoking trajectory and meta-analysis of smoking status in 842,000 individuals.",Nature communications,2;4,,"Journal Article;Meta-Analysis;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S."
32981348,2020,Genetic Architecture of Abdominal Aortic Aneurysm in the Million Veteran Program.,Circulation,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
32970095,2020,Novel Risk Loci in Tinnitus and Causal Inference With Neuropsychiatric Disorders Among Adults of European Ancestry.,JAMA otolaryngology-- head & neck surgery,2;4;18,,"Journal Article;Multicenter Study;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S."
32915777,2020,The relationship between circulating lipids and breast cancer risk: A Mendelian randomization study.,PLoS medicine,1;2;5;10;11,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
32887874,2020,Chromosome 1q21.2 and additional loci influence risk of spontaneous coronary artery dissection and myocardial infarction.,Nature communications,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
32847391,2021,Mendelian Randomization Analysis of Hemostatic Factors and Their Contribution to Peripheral Artery Disease-Brief Report.,"Arteriosclerosis, thrombosis, and vascular biology",1;2;10,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
32841307,2020,"Validating a non-invasive, ALT-based non-alcoholic fatty liver phenotype in the million veteran program.",PloS one,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
