pubmed_id,year,title,journal,themes,subthemes,publication_types
32887889,2020,Pan-cancer study detects genetic risk variants and shared genetic basis in two large cohorts.,Nature communications,2;5,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32887874,2020,Chromosome 1q21.2 and additional loci influence risk of spontaneous coronary artery dissection and myocardial infarction.,Nature communications,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
32886096,2020,Effect of Education on Myopia: Evidence from the United Kingdom ROSLA 1972 Reform.,Investigative ophthalmology & visual science,18,,"Journal Article;Multicenter Study;Research Support, Non-U.S. Gov't"
32885772,2020,Exploring Phenotypic and Genetic Overlap Between Cannabis Use and Schizotypy.,Twin research and human genetics : the official journal of the International Society for Twin Studies,2;4,,"Journal Article;Research Support, Non-U.S. Gov't;Twin Study"
32878991,2020,Association of genetic risk for Alzheimer disease and hearing impairment.,Neurology,2;11;18,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32875944,2021,Accounting for Time: Circadian Rhythms in the Time of COVID-19.,Journal of biological rhythms,8;13,,"Journal Article;Research Support, N.I.H., Extramural;Review"
32873964,2021,Sex-specific genetic effects across biomarkers.,European journal of human genetics : EJHG,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32873934,2021,Evidence in the UK Biobank for the underdiagnosis of erythropoietic protoporphyria.,Genetics in medicine : official journal of the American College of Medical Genetics,10,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32868294,2020,"Serum free testosterone and asthma, asthma hospitalisations and lung function in British adults.",Thorax,13,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32864785,2020,Efficient gene-environment interaction tests for large biobank-scale sequencing studies.,Genetic epidemiology,2,,"Journal Article;Research Support, N.I.H., Extramural"
32861010,2020,Effects of atmospheric particulate matter pollution on sleep disorders and sleep duration: a cross-sectional study in the UK biobank.,Sleep medicine,1;7;14;19,,"Journal Article;Research Support, Non-U.S. Gov't"
32860398,2020,Morning diurnal preference and food intake: a Mendelian randomization study.,The American journal of clinical nutrition,2;10,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32859587,2020,Risk of 16 cancers across the full glycemic spectrum: a population-based cohort study using the UK Biobank.,BMJ open diabetes research & care,1;5,,"Journal Article;Research Support, Non-U.S. Gov't"
32857775,2020,Compressive Big Data Analytics: An ensemble meta-algorithm for high-dimensional multisource datasets.,PloS one,3,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S."
32856754,2020,"Women's brain aging: Effects of sex-hormone exposure, pregnancies, and genetic risk for Alzheimer's disease.",Human brain mapping,2;11;15,,"Journal Article;Research Support, Non-U.S. Gov't"
32856611,2020,Circulating Insulin-Like Growth Factor-1 and Risk of Total and 19 Site-Specific Cancers: Cohort Study Analyses from the UK Biobank.,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",5,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32856188,2021,Habitual coffee intake and risk for nonalcoholic fatty liver disease: a two-sample Mendelian randomization study.,European journal of nutrition,1;2;10,,Journal Article;Meta-Analysis
32855344,2020,Genetically raised serum bilirubin levels and lung cancer: a cohort study and Mendelian randomisation using UK Biobank.,Thorax,5;10,,"Journal Article;Research Support, Non-U.S. Gov't"
32851419,2021,Vitamin D and COVID-19 infection and mortality in UK Biobank.,European journal of nutrition,8,,Journal Article
32847945,2020,Health impacts and environmental footprints of diets that meet the Eatwell Guide recommendations: analyses of multiple UK studies.,BMJ open,,,"Journal Article;Research Support, Non-U.S. Gov't"
32847829,2020,"Baseline Vitamin D Status, Sleep Patterns, and the Risk of Incident Type 2 Diabetes in Data From the UK Biobank Study.",Diabetes care,1;13,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32844204,2020,IBDkin: fast estimation of kinship coefficients from identity by descent segments.,"Bioinformatics (Oxford, England)",9,,"Journal Article;Research Support, N.I.H., Extramural"
32843070,2020,Genome-wide association meta-analysis for early age-related macular degeneration highlights novel loci and insights for advanced disease.,BMC medical genomics,2;11;18,,"Journal Article;Meta-Analysis;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32839619,2020,A population-based phenome-wide association study of cardiac and aortic structure and function.,Nature medicine,1;2,,"Journal Article;Research Support, Non-U.S. Gov't"
32839289,2020,Protective effect of club cell secretory protein (CC-16) on COPD risk and progression: a Mendelian randomisation study.,Thorax,2;10;13,,"Journal Article;Research Support, N.I.H., Extramural"
32838838,2020,Investigating pleiotropic effects of statins on ischemic heart disease in the UK Biobank using Mendelian randomisation.,eLife,1;2;10,,Journal Article
32835819,2020,Multimodal brain-age prediction and cardiovascular risk: The Whitehall II MRI sub-study.,NeuroImage,1;3;14,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32835759,2020,Association of obesity and its genetic predisposition with the risk of severe COVID-19: Analysis of population-based cohort data.,Metabolism: clinical and experimental,1;2;8,,"Journal Article;Research Support, N.I.H., Extramural"
32835758,2020,"Diabetes, glycaemic control, and risk of COVID-19 hospitalisation: Population-based, prospective cohort study.",Metabolism: clinical and experimental,1;8,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32830201,2020,Germline HOXB13 G84E mutation carriers and risk to twenty common types of cancer: results from the UK Biobank.,British journal of cancer,5;12,,Journal Article
32828527,2021,Aging-Sensitive Networks Within the Human Structural Connectome Are Implicated in Late-Life Cognitive Declines.,Biological psychiatry,11,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
