pubmed_id,year,title,journal,themes,subthemes,publication_types
40481092,2025,Proteome-wide Mendelian randomization reveals causal associations between plasma proteins and autoimmune thyroid disease.,Scientific reports,2;5;9;10,,Journal Article
40480391,2025,Mood instability and 22 gastrointestinal disorders: investigating the causal relationships and the mediating factors by Mendelian randomization analysis.,Journal of affective disorders,2;4;10,,Journal Article
40480287,2025,Integrating Expression Quantitative Trait Loci and Genome-Wide Association Study Identifies Druggable Genes for Tinnitus.,"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology",2;18,,Journal Article
40478403,2025,Causal associations between air pollution and breast cancer risk and survival: a Mendelian randomization study.,Discover oncology,2;5;10;19,,Journal Article
40472801,2025,Polygenic scores for obstructive sleep apnoea reveal pathways contributing to cardiovascular disease.,EBioMedicine,1;2;14,,Journal Article
40464192,2025,Novel High-Resolution Lipidomes Could Serve as New Biomarkers for Diabetic Retinopathy: A Bidirectional and Mediated Mendelian Randomization Study.,Journal of cellular and molecular medicine,1;2;10;18,,Journal Article
40463816,2025,NFKB1-targeted metabolites as novel therapeutic approaches for erectile dysfunction: evidence from gut microbiota network pharmacology and machine learning.,Sexual medicine,2;3,,Journal Article
40459852,2025,Therapeutic Targets for Sepsis: Multicenter Proteome-Wide Analyses and Experimental Validation.,Journal of proteome research,2;8,,Journal Article;Multicenter Study
40459497,2025,Cross-Tissue Transcriptome-Wide Association Study Identifies Novel Genes Associated With POAG.,Investigative ophthalmology & visual science,2,,Journal Article
40458666,2025,Corneal Biomechanics as a Causal Factor in Myopia and Astigmatism: Evidence from Mendelian Randomization.,Ophthalmology science,2;10;18,,Journal Article
40453734,2025,Unveiling the Intricate Causal Nexus Between 91 Circulating Inflammatory Proteins and Perianal Abscess Through a Comprehensive Bidirectional Two-Sample Mendelian Randomization Analysis.,Health science reports,2;10,,Journal Article
40452205,2025,Genetic analysis of the correlation between GLP1 action and metabolic liver disease: Insights from Mendelian randomization analysis.,Journal of diabetes investigation,1;2;10,,Journal Article
40451550,2025,Identification of novel therapeutic targets for atrial fibrillation through Mendelian randomization analysis of druggable genes.,Experimental gerontology,1;2;10,,Journal Article
40450304,2025,Identification of EPHB4 as a potential causal gene and therapeutic target for endometriosis using Mendelian randomization.,Hereditas,2;4;10;15,,Journal Article
40448142,2025,Causal relationship between immune cells and post-viral fatigue syndrome: a Mendelian randomization study.,Virology journal,2;10,,"Journal Article;Research Support, Non-U.S. Gov't"
40447747,2025,Identifying causal genes for prostatitis through drug-targeted Mendelian randomization.,Scientific reports,2;10,,Journal Article
40447325,2025,"Lung development genes, adult lung function and cardiovascular comorbidities.",Thorax,1,,Journal Article
40447157,2025,Association of glucagon-like peptide-1 receptor agonists and seven common mental disorders: A drug target and mediation Mendelian randomization.,Journal of affective disorders,1;2;4;10,,Journal Article;Systematic Review
40444654,2025,"Effects of Oxidative Stress Gene Protein, Expression, and DNA Methylation on Multiple Sclerosis: A Multi-Omics Mendelian Randomized Study.",Brain and behavior,2;4;9;10;14,,Journal Article
40442727,2025,Exploring the pathways linking fasting insulin to coronary artery disease: a proteome-wide Mendelian randomization study.,BMC medicine,1;2;10,,Journal Article
40441263,2025,"Causal assessment of the relationship between diet, lifestyle, and stroke: A two-sample Mendelian randomization study.",Medicine,1;2;10;14,14.2-stroke-cerebro,Journal Article
40441249,2025,Dietary factors and postmenopausal bleeding: A Mendelian randomization investigation.,Medicine,2;10,,Journal Article
40441243,2025,Causal association between uterine fibroids and cardiovascular disease: A Mendelian randomization study.,Medicine,1;2;10;14;15,,Journal Article
40441232,2025,Analysis of the correlation between inflammatory cytokines and glioblastoma: A Mendelian randomization study.,Medicine,2;5;10,,Journal Article;Meta-Analysis
40438617,2025,NMRAL1 as a Causal Factor in Postherpetic Neuralgia: A Proteome-Wide Mendelian Randomization Study.,Journal of pain research,2;4;8;10,,Journal Article
40427057,2025,A Cross-Tissue Transcriptome-Wide Association Study Reveals Novel Susceptibility Genes for Diabetic Kidney Disease in the FinnGen Cohort.,Biomedicines,1;2,,Journal Article
40424652,2025,Metabolomics insights into the causal associations between antihypertensive drugs and myocarditis.,International immunopharmacology,2,,Journal Article
40423389,2025,Frailty and the Risk of Delirium: A Mendelian Randomization Study.,Critical care nursing quarterly,2;10;11,,Journal Article
40420090,2025,Therapeutic targets for venous thromboemblism: proteome-wide mendelian randomization and colocalization analyses.,Thrombosis journal,1;2;10,,Journal Article
40419887,2025,Immunological mediators in the causal relationship between latent autoimmune diabetes in adults and breast cancer: A Mendelian randomization analysis.,Medicine,1;2;5;9;10,,Journal Article
40419871,2025,Endothelial selective adhesion molecule and interleukin-16 play an intermediary role in psoriasis complicated with acute myocardial infarction: A Mendelian randomization study.,Medicine,1;2;9;10;12,,Journal Article
40419866,2025,Causal validation of the relationship between air pollution and lung cancer: A bidirectional Mendelian randomization study and meta-analysis.,Medicine,2;5;10;19,,Journal Article;Meta-Analysis
40419210,2025,Susceptibility genes for allergic conjunctivitis revealed by cross-tissue transcriptome-wide association study.,Experimental eye research,2,,Journal Article
40419157,2025,Causal relationships between white matter connectome and mental disorders: a large-scale genetic correlation study.,Journal of affective disorders,2;4,,Journal Article
40416952,2025,A cross-tissue transcriptome-wide association study identifies novel susceptibility genes for atrial fibrillation.,Journal of arrhythmia,1;2,,Journal Article
40416681,2025,Association between micronutrient supplementation during pregnancy and preterm birth: evidence from a large-scale children survey and Mendelian randomization study.,Frontiers in public health,2;10;15,,Journal Article
40414823,2025,Causal relationship between citrate and gestational diabetes mellitus: a two-sample Mendelian randomization analysis.,"The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians",1;2;10;15,,Journal Article
40410146,2025,The health impacts and genetic architecture of food liking in cardio-metabolic diseases.,Nature communications,1;2,,Journal Article
40409638,2025,"Integrative genome-wide association studies, proteome-wide Mendelian randomization, and single-cell RNA sequencing identify interleukin-6 receptor protein as a therapeutic target in aortic aneurysm.",International journal of biological macromolecules,1;2;10,,Journal Article
40408117,2025,Unraveling the Link Between Obesity and Keratoconus Risk Based on Genetic Evidence.,Translational vision science & technology,1;2,,Journal Article
40408003,2025,Circulating metabolic biomarkers mediated causal relationship between gut microbiota and bladder cancer: a two-step mendelian randomization study.,Discover oncology,1;2;5;10,,Journal Article
40403523,2025,Causal association of hypertension in family members with preeclampsia-eclampsia in pregnant women: A two-sample Mendelian randomization study.,Pregnancy hypertension,1;2;10;15,,Journal Article
40401008,2025,Bioinformatics analysis of FCER1A as a key immune marker in dilated cardiomyopathy and systemic lupus erythematosus.,American journal of clinical and experimental immunology,2;3;9,,Journal Article
