pubmed_id,year,title,journal,themes,subthemes,publication_types
41069018,2025,A phenome-wide spectrum of morbidity and mortality risks related to the number of offspring among 0.5 million Chinese men and women: A prospective cohort study.,Chinese medical journal,2;5,,Journal Article
41046934,2026,Lifestyle-associated metabolite signatures and the risk of late-onset asthma.,The Journal of allergy and clinical immunology,3;13,,Journal Article
40987456,2025,Erythrocyte odd-chain fatty acids and the risk of cardiometabolic diseases: a prospective study and updated meta-analysis.,European journal of preventive cardiology,1;14,,Journal Article
40974041,2025,Negative Life Events and Their Association With Stroke and Total Cerebrovascular Disease Risk: Results From a 10-Year Prospective Cohort Study.,Stress and health : journal of the International Society for the Investigation of Stress,1;14,14.2-stroke-cerebro,Journal Article
40944258,2025,Alcohol and Tea Consumption in Relation to Liver Cancer Risk by Diabetes Status: A Prospective Cohort Study of 0.5 Million Chinese Adults.,Nutrients,1;5,,Journal Article
40889955,2025,"SGLT2 inhibition, acylcarnitines and heart failure: a Mendelian randomization study.",Open heart,1;2;10,,Journal Article;Multicenter Study
40888302,2025,Associations of Stressful Life Events With Diabetes Incidence in China: Insights From the China Kadoorie Biobank.,Journal of diabetes,1,,Journal Article
40878765,2025,The mediating effect of blood pressure between healthy lifestyles and stroke: Results from the China Kadoorie Biobank study.,Journal of biomedical research,1;14,14.2-stroke-cerebro,Journal Article
40854762,2025,[A prospective study of the effect of physical activity on mortality risk in patients with chronic obstructive pulmonary disease in Sichuan Province].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;7;13;14,,English Abstract;Journal Article
40854761,2025,"[Association of age at menarche, age at menopause, and reproductive lifespan with frailty index in Chinese adult women].",Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,11;15,,English Abstract;Journal Article
40854760,2025,[Relationship between ambient air pollution and vitamin D in Chinese adults].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,19,,English Abstract;Journal Article
40854759,2025,[Association between tobacco smoking and the need for respiratory support and mortality in patients hospitalized with pneumonia].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,4,,English Abstract;Journal Article
40835392,2025,Patterns and correlates of visual impairment and ocular hypertension among older adults in the general Chinese population: results from the CKB Biobank.,The British journal of ophthalmology,1;6;11;18,,Journal Article;Multicenter Study;Observational Study
40817906,2025,Association of Income Inequality and Sleep Duration With Cardiovascular Outcomes in China and the UK.,JACC. Asia,1;6;7,,Journal Article
40784889,2025,Calibrating multiplex serology for Helicobacter pylori.,Diagnostic and prognostic research,3;5;8,,Journal Article
40699163,2025,Associations Between Body Roundness Index and Cardiovascular Outcomes: A China Kadoorie Biobank Prospective Cohort Study.,JACC. Asia,1;14,,Journal Article
40697781,2025,Phenome-wide association of physical activity with morbidity and mortality risk in China: A prospective cohort study.,Innovation (Cambridge (Mass.)),2;3;7,,Journal Article
